fdate,cik,findexdate,form,coname,fsize,doccount,sec_full_path
2004-11-24,0001308161,2004-11-24,8-K,NEWS CORP,5871753.0,3.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-04-203497.txt
2004-12-03,0001308161,2004-12-03,8-K,NEWS CORP,277725.0,5.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-04-207397.txt
2004-12-23,0001308161,2004-12-23,8-K,NEWS CORP,925535.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-04-219194.txt
2005-01-10,0001308161,2005-01-10,8-K,NEWS CORP,38265.0,3.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-003541.txt
2005-01-27,0001308161,2005-01-27,8-K,NEWS CORP,25006.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-013283.txt
2005-02-02,0001308161,2005-02-02,8-K,NEWS CORP,318491.0,4.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-016831.txt
2005-02-03,0001308161,2005-02-03,8-K,NEWS CORP,239034.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-018408.txt
2005-02-04,0001308161,2005-02-04,10-Q,NEWS CORP,1518464.0,8.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-019927.txt
2005-02-08,0001308161,2005-02-08,8-K,NEWS CORP,26164.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-021758.txt
2005-02-22,0001308161,2005-02-22,8-K,NEWS CORP,40749.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-034354.txt
2005-02-23,0001308161,2005-02-23,8-K,NEWS CORP,24480.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-035024.txt
2005-03-03,0001308161,2005-03-03,8-K,NEWS CORP,38466.0,4.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-041557.txt
2005-03-11,0001308161,2005-03-11,8-K,NEWS CORP,17222.0,1.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-047939.txt
2005-03-14,0001308161,2005-03-14,8-K,NEWS CORP,30832.0,3.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-049644.txt
2005-03-21,0001308161,2005-03-21,8-K,NEWS CORP,36643.0,3.0,https://www.sec.gov/Archives/edgar/data/1308161/0000950172-05-000876.txt
2005-03-22,0001308161,2005-03-22,8-K,NEWS CORP,21391.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0000950172-05-000897.txt
2005-03-28,0001308161,2005-03-28,8-K,NEWS CORP,7303.0,1.0,https://www.sec.gov/Archives/edgar/data/1308161/0001308161-05-000028.txt
2005-05-04,0001308161,2005-05-04,8-K,NEWS CORP,415473.0,4.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-095700.txt
2005-05-05,0001308161,2005-05-05,8-K,NEWS CORP,17967.0,1.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-097589.txt
2005-05-05,0001308161,2005-05-05,10-Q,NEWS CORP,1164995.0,6.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-097634.txt
2005-05-18,0001308161,2005-05-18,8-K,NEWS CORP,6855.0,1.0,https://www.sec.gov/Archives/edgar/data/1308161/0001308161-05-000051.txt
2005-06-13,0001308161,2005-06-13,8-K,NEWS CORP,26495.0,3.0,https://www.sec.gov/Archives/edgar/data/1308161/0001193125-05-123988.txt
2005-06-16,0001308161,2005-06-16,8-K,NEWS CORP,6241.0,1.0,https://www.sec.gov/Archives/edgar/data/1308161/0001308161-05-000055.txt
2005-06-16,0001308161,2005-06-16,8-K,NEWS CORP,6569.0,1.0,https://www.sec.gov/Archives/edgar/data/1308161/0001308161-05-000057.txt
2005-06-17,0001308161,2005-06-17,8-K,NEWS CORP,6996.0,1.0,https://www.sec.gov/Archives/edgar/data/1308161/0001308161-05-000058.txt
2005-06-20,0001308161,2005-06-20,8-K,NEWS CORP,6992.0,1.0,https://www.sec.gov/Archives/edgar/data/1308161/0001308161-05-000059.txt
2005-06-21,0001308161,2005-06-21,8-K,NEWS CORP,22012.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-035840.txt
2005-06-22,0001308161,2005-06-22,8-K,NEWS CORP,24034.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-036054.txt
2005-06-23,0001308161,2005-06-23,8-K,NEWS CORP,24020.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-036311.txt
2005-06-24,0001308161,2005-06-24,8-K,NEWS CORP,23738.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-036672.txt
