fdate,cik,findexdate,form,coname,fsize,doccount,sec_full_path
1994-03-15,0000732717,1994-03-31,8-K,SOUTHWESTERN BELL CORP,28052.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-94-000001.txt
1994-03-18,0000732717,1994-03-31,10-K,SOUTHWESTERN BELL CORP,246114.0,6.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-94-000005.txt
1994-04-06,0000732717,1994-06-30,8-K,SOUTHWESTERN BELL CORP,3873.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-94-000006.txt
1994-05-10,0000732717,1994-06-30,10-Q,SOUTHWESTERN BELL CORP,34772.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-94-000007.txt
1994-05-19,0000732717,1994-06-30,8-K,SOUTHWESTERN BELL CORP,23070.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-94-000008.txt
1994-08-10,0000732717,1994-08-10,10-Q,SOUTHWESTERN BELL CORP,142054.0,4.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-94-000013.txt
1994-11-08,0000732717,1994-11-08,10-Q,SOUTHWESTERN BELL CORP,45375.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-94-000014.txt
1995-05-09,0000732717,1995-05-09,10-Q,SBC COMMUNICATIONS INC,70512.0,4.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-95-000006.txt
1995-08-08,0000732717,1995-08-08,10-Q,SBC COMMUNICATIONS INC,43026.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000798263-95-000029.txt
1995-09-29,0000732717,1995-09-29,8-K,SBC COMMUNICATIONS INC,6500.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-95-000011.txt
1995-11-07,0000732717,1995-11-07,10-Q,SBC COMMUNICATIONS INC,45028.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-95-000013.txt
1995-12-14,0000732717,1995-12-14,8-K,SBC COMMUNICATIONS INC,30952.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-95-000014.txt
1996-04-02,0000732717,1996-04-02,8-K,SBC COMMUNICATIONS INC,158293.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-96-000004.txt
1996-05-07,0000732717,1996-05-07,10-Q,SBC COMMUNICATIONS INC,65161.0,4.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-96-000007.txt
1996-08-06,0000732717,1996-08-06,10-Q,SBC COMMUNICATIONS INC,223327.0,7.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-96-000016.txt
1996-08-13,0000732717,1996-08-13,8-K,SBC COMMUNICATIONS INC,17013.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-96-000017.txt
1996-09-30,0000732717,1996-09-30,8-K,SBC COMMUNICATIONS INC,205001.0,9.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-96-000019.txt
1996-11-05,0000732717,1996-11-05,10-Q,SBC COMMUNICATIONS INC,49548.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-96-000021.txt
1996-11-14,0000732717,1996-11-14,8-K,SBC COMMUNICATIONS INC,17493.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-96-000022.txt
1997-03-14,0000732717,1997-03-14,8-K,SBC COMMUNICATIONS INC,16886.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-97-000002.txt
1997-03-31,0000732717,1997-03-31,8-K,SBC COMMUNICATIONS INC,312048.0,5.0,https://www.sec.gov/Archives/edgar/data/732717/0000950123-97-002868.txt
1997-04-01,0000732717,1997-04-01,8-K,SBC COMMUNICATIONS INC,9626.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-97-000009.txt
1997-05-09,0000732717,1997-05-09,8-K,SBC COMMUNICATIONS INC,201253.0,6.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-97-000012.txt
1997-05-09,0000732717,1997-05-09,10-Q,SBC COMMUNICATIONS INC,76718.0,4.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-97-000014.txt
1997-06-19,0000732717,1997-06-19,8-K,SBC COMMUNICATIONS INC,12809.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-97-000020.txt
1997-08-13,0000732717,1997-08-13,10-Q,SBC COMMUNICATIONS INC,69352.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-97-000023.txt
1997-11-12,0000732717,1997-11-12,10-Q,SBC COMMUNICATIONS INC,66679.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-97-000028.txt
1998-01-05,0000732717,1998-01-05,8-K,SBC COMMUNICATIONS INC,253915.0,4.0,https://www.sec.gov/Archives/edgar/data/732717/0000891836-98-000003.txt
1998-02-05,0000732717,1998-02-05,8-K,SBC COMMUNICATIONS INC,59574.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-98-000003.txt
1998-05-11,0000732717,1998-05-11,10-Q,SBC COMMUNICATIONS INC,108001.0,11.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-98-000011.txt
1998-05-11,0000732717,1998-05-11,8-K,SBC COMMUNICATIONS INC,205758.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000891836-98-000275.txt
1998-08-13,0000732717,1998-08-13,10-Q,SBC COMMUNICATIONS INC,80779.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-98-000023.txt
1998-10-15,0000732717,1998-10-15,8-K,SBC COMMUNICATIONS INC,15561.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-98-000025.txt
1998-10-26,0000732717,1998-10-26,8-K,SBC COMMUNICATIONS INC,12762.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000891836-98-000662.txt
1998-10-30,0000732717,1998-10-30,8-K,SBC COMMUNICATIONS INC,7150.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-98-000029.txt
1998-11-04,0000732717,1998-11-04,10-Q,SBC COMMUNICATIONS INC,95758.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-98-000031.txt
1998-11-19,0000732717,1998-11-19,8-K,SBC COMMUNICATIONS INC,21530.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-98-000032.txt
1999-01-08,0000732717,1999-01-08,8-K,SBC COMMUNICATIONS INC,85283.0,13.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-99-000002.txt
1999-01-21,0000732717,1999-01-21,8-K,SBC COMMUNICATIONS INC,16982.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-99-000003.txt
1999-03-12,0000732717,1999-03-12,10-K,SBC COMMUNICATIONS INC,477801.0,11.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-99-000007.txt
1999-05-11,0000732717,1999-05-11,10-Q,SBC COMMUNICATIONS INC,90431.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-99-000013.txt
1999-06-17,0000732717,1999-06-17,8-K,SBC COMMUNICATIONS INC,9434.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000891836-99-000438.txt
1999-08-06,0000732717,1999-08-06,10-Q,SBC COMMUNICATIONS INC,109326.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-99-000020.txt
1999-10-12,0000732717,1999-10-12,8-K,SBC COMMUNICATIONS INC,5187.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-99-000046.txt
1999-10-19,0000732717,1999-10-19,8-K,SBC COMMUNICATIONS INC,19690.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-99-000051.txt
1999-10-29,0000732717,1999-10-29,8-K,SBC COMMUNICATIONS INC,196775.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-99-000053.txt
1999-11-12,0000732717,1999-11-12,10-Q,SBC COMMUNICATIONS INC,218307.0,4.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-99-000057.txt
2000-01-13,0000732717,2000-01-13,8-K,SBC COMMUNICATIONS INC,5153.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-00-000005.txt
2000-01-25,0000732717,2000-01-25,8-K,SBC COMMUNICATIONS INC,20453.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-00-000007.txt
2000-01-28,0000732717,2000-01-28,8-K,SBC COMMUNICATIONS INC,5859.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-00-000010.txt
2000-02-22,0000732717,2000-02-22,8-K,SBC COMMUNICATIONS INC,13891.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-00-000014.txt
2000-03-10,0000732717,2000-03-10,10-K,SBC COMMUNICATIONS INC,592823.0,23.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-00-000018.txt
2000-04-10,0000732717,2000-04-10,8-K,SBC COMMUNICATIONS INC,269919.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000950123-00-003448.txt
2000-04-26,0000732717,2000-04-26,8-K,SBC COMMUNICATIONS INC,45693.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-00-000029.txt
2000-05-10,0000732717,2000-05-10,10-Q,SBC COMMUNICATIONS INC,93584.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-00-000031.txt
2000-07-06,0000732717,2000-07-06,8-K,SBC COMMUNICATIONS INC,60447.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-00-000049.txt
2000-07-07,0000732717,2000-07-07,8-K,SBC COMMUNICATIONS INC,3772.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-00-000051.txt
2000-07-28,0000732717,2000-07-28,8-K,SBC COMMUNICATIONS INC,16913.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-00-000052.txt
2000-08-10,0000732717,2000-08-10,10-Q,SBC COMMUNICATIONS INC,105031.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-00-000054.txt
2000-08-17,0000732717,2000-08-17,8-K,SBC COMMUNICATIONS INC,30607.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-00-000057.txt
2000-08-28,0000732717,2000-08-28,8-K,SBC COMMUNICATIONS INC,196213.0,7.0,https://www.sec.gov/Archives/edgar/data/732717/0000891836-00-000597.txt
2000-10-03,0000732717,2000-10-03,8-K,SBC COMMUNICATIONS INC,4680.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000891836-00-000649.txt
2000-10-12,0000732717,2000-10-12,8-K,SBC COMMUNICATIONS INC,7527.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000891836-00-000659.txt
2000-11-13,0000732717,2000-11-13,10-Q,SBC COMMUNICATIONS INC,123060.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-00-000065.txt
2001-03-12,0000732717,2001-03-12,10-K,SBC COMMUNICATIONS INC,811410.0,18.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-01-000019.txt
2001-04-24,0000732717,2001-04-24,8-K,SBC COMMUNICATIONS INC,39811.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000950123-01-501081.txt
2001-05-11,0000732717,2001-05-11,10-Q,SBC COMMUNICATIONS INC,106358.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-01-500005.txt
2001-08-08,0000732717,2001-08-08,10-Q,SBC COMMUNICATIONS INC,118455.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-01-500018.txt
2001-11-08,0000732717,2001-11-08,10-Q,SBC COMMUNICATIONS INC,145704.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-01-500025.txt
2002-01-25,0000732717,2002-01-25,8-K,SBC COMMUNICATIONS INC,19009.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-02-000004.txt
2002-02-28,0000732717,2002-02-28,10-K,SBC COMMUNICATIONS INC,1575986.0,13.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-02-000013.txt
2002-05-03,0000732717,2002-05-03,10-Q,SBC COMMUNICATIONS INC,445098.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-02-000015.txt
2002-06-24,0000732717,2002-06-24,8-K,SBC COMMUNICATIONS INC,18967.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-02-000022.txt
2002-07-01,0000732717,2002-07-01,8-K,SBC COMMUNICATIONS INC,8730.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-02-000030.txt
2002-08-01,0000732717,2002-08-01,8-K,SBC COMMUNICATIONS INC,11802.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-02-000033.txt
2002-08-12,0000732717,2002-08-12,10-Q,SBC COMMUNICATIONS INC,725104.0,6.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-02-000039.txt
2002-08-12,0000732717,2002-08-12,8-K,SBC COMMUNICATIONS INC,11614.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-02-000041.txt
2002-10-16,0000732717,2002-10-16,8-K,SBC COMMUNICATIONS INC,5823.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-02-000076.txt
2002-11-13,0000732717,2002-11-13,10-Q,SBC COMMUNICATIONS INC,1035265.0,6.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-02-000083.txt
2003-03-14,0000732717,2003-03-14,10-K,SBC COMMUNICATIONS INC,2291720.0,19.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-03-000210.txt
2003-04-21,0000732717,2003-04-21,8-K,SBC COMMUNICATIONS INC,10794.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-03-000323.txt
