fdate,cik,findexdate,form,coname,fsize,doccount,sec_full_path
2002-10-30,0001166691,2002-10-30,8-K,AT&T COMCAST CORP,171519.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-02-000641.txt
2003-01-10,0001166691,2003-01-10,8-K,COMCAST CORP,119980.0,5.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950103-03-000040.txt
2003-02-05,0001166691,2003-02-05,8-K,COMCAST CORP,4878.0,1.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-03-000066.txt
2003-03-06,0001166691,2003-03-06,8-K,COMCAST CORP,81616.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-03-000188.txt
2003-03-20,0001166691,2003-03-20,10-K,COMCAST CORP,1645848.0,32.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-03-000238.txt
2003-05-09,0001166691,2003-05-09,8-K,COMCAST CORP,75525.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-03-000384.txt
2003-05-09,0001166691,2003-05-09,10-Q,COMCAST CORP,224314.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-03-000388.txt
2003-07-03,0001166691,2003-07-03,8-K,COMCAST CORP,18673.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950103-03-001496.txt
2003-08-01,0001166691,2003-08-01,8-K,COMCAST CORP,92638.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-03-000635.txt
2003-08-01,0001166691,2003-08-01,10-Q,COMCAST CORP,227410.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-03-000639.txt
2003-09-17,0001166691,2003-09-17,8-K,COMCAST CORP,5884.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-03-000760.txt
2003-10-01,0001166691,2003-10-01,8-K,COMCAST CORP,271627.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-03-000800.txt
2003-10-30,0001166691,2003-10-30,8-K,COMCAST CORP,67763.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0000891092-03-003079.txt
2003-10-31,0001166691,2003-10-31,10-Q,COMCAST CORP,234245.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-03-000869.txt
2004-02-11,0001166691,2004-02-11,8-K,COMCAST CORP,70247.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0000891092-04-000645.txt
2004-02-11,0001166691,2004-02-11,8-K,COMCAST CORP,29320.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950103-04-000205.txt
2004-03-12,0001166691,2004-03-12,10-K,COMCAST CORP,1560779.0,17.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-04-000281.txt
2004-04-28,0001166691,2004-04-28,8-K,COMCAST CORP,45823.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0000891092-04-001973.txt
2004-04-28,0001166691,2004-04-28,8-K,COMCAST CORP,31558.0,3.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950103-04-000584.txt
2004-05-05,0001166691,2004-05-05,10-Q,COMCAST CORP,636246.0,6.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-04-000476.txt
2004-05-13,0001166691,2004-05-13,8-K,COMCAST CORP,5976.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-04-000525.txt
2004-07-28,0001166691,2004-07-28,8-K,COMCAST CORP,56876.0,2.0,https://www.sec.gov/Archives/edgar/data/1166691/0000891092-04-003590.txt
2004-07-30,0001166691,2004-07-30,10-Q,COMCAST CORP,615194.0,7.0,https://www.sec.gov/Archives/edgar/data/1166691/0000950159-04-000712.txt
