fdate,cik,findexdate,form,coname,fsize,doccount,sec_full_path
1994-01-21,0000732712,1994-03-31,8-K,BELL ATLANTIC CORP,3399.0,1.0,https://www.sec.gov/Archives/edgar/data/732712/0000950133-94-000018.txt
1994-02-01,0000732712,1994-03-31,8-K,BELL ATLANTIC CORP,2923.0,1.0,https://www.sec.gov/Archives/edgar/data/732712/0000950172-94-000010.txt
1994-02-09,0000732712,1994-03-31,8-K,BELL ATLANTIC CORP,18580.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0000893220-94-000061.txt
1994-02-14,0000732712,1994-03-31,8-K,BELL ATLANTIC CORP,2930.0,1.0,https://www.sec.gov/Archives/edgar/data/732712/0000893220-94-000079.txt
1994-02-24,0000732712,1994-03-31,8-K,BELL ATLANTIC CORP,3196.0,1.0,https://www.sec.gov/Archives/edgar/data/732712/0000893220-94-000108.txt
1994-03-23,0000732712,1994-03-31,8-K,BELL ATLANTIC CORP,6014.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0000732712-94-000006.txt
1994-03-31,0000732712,1994-03-31,10-K,BELL ATLANTIC CORP,533905.0,17.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-94-000587.txt
1994-04-22,0000732712,1994-06-30,8-K,BELL ATLANTIC CORP,13572.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0000732712-94-000009.txt
1994-05-13,0000732712,1994-06-30,10-Q,BELL ATLANTIC CORP,67565.0,3.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-94-000824.txt
1994-07-21,0000732712,1994-07-21,8-K,BELL ATLANTIC CORP,17411.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0000732712-94-000014.txt
1994-08-15,0000732712,1994-08-15,10-Q,BELL ATLANTIC CORP,97311.0,3.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-94-001534.txt
1994-10-21,0000732712,1994-10-21,8-K,BELL ATLANTIC CORP,17363.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0000732712-94-000017.txt
1994-11-14,0000732712,1994-11-14,10-Q,BELL ATLANTIC CORP,106564.0,4.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-94-002093.txt
1995-01-25,0000732712,1995-01-25,8-K,BELL ATLANTIC CORP,25182.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0000732712-95-000004.txt
1995-04-25,0000732712,1995-04-25,8-K,BELL ATLANTIC CORP,17108.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0000732712-95-000009.txt
1995-05-12,0000732712,1995-05-12,10-Q,BELL ATLANTIC CORP,85886.0,4.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-95-001850.txt
1995-07-24,0000732712,1995-07-24,8-K,BELL ATLANTIC CORP,20230.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0000732712-95-000016.txt
1995-08-11,0000732712,1995-08-11,10-Q,BELL ATLANTIC CORP,103662.0,4.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-95-003097.txt
1995-10-23,0000732712,1995-10-23,8-K,BELL ATLANTIC CORP,21952.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0000732712-95-000022.txt
1995-11-13,0000732712,1995-11-13,10-Q,BELL ATLANTIC CORP,109735.0,4.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-95-004576.txt
1996-01-23,0000732712,1996-01-23,8-K,BELL ATLANTIC CORP,8393.0,1.0,https://www.sec.gov/Archives/edgar/data/732712/0000732712-96-000002.txt
