,level_0,index,link,headline,summary,date,compounds_head,compounds_summ,compounds_head_summ,Sentiment,Modal,Negative,Positive,Uncertainty,Litigious,Constraining,Superfluous,Interesting,Doc_length,Modal_freq,Negative_freq,Positive_freq,Uncertainty_freq,Litigious_freq,Constraining_freq,Superfluous_freq,Interesting_freq,Negative_score,Positive_score
0,0,0,https://www.nytimes.com/2001/11/01/business/company-news-comcast-has-loss-in-acquisitions-and-upgrade-costs.html,COMCAST HAS LOSS IN ACQUISITIONS AND UPGRADE COSTS,"The Comcast Corporation, the cable-television operator seeking to buy AT&T's broadband unit, had a third-quarter loss on acquisition and upgrade costs as sales and cash flow beat analyst estimates. The loss was $106.8 million, or 11 cents a share, compared with net income of $1.25 billion, or $1.29, a year earlier, the company said. The Philadelphia-based company offered to buy New York-based AT&T's cable unit, the nation's largest, for stock and assumed debt now valued at $51.2 billion. AT&T rejected the bid in July. Comcast's operating cash flow, or earnings before interest, taxes, depreciation and amortization, rose 17 percent to $705.8 million from $605.7 million. The company was expected by analysts surveyed by Thomson Financial/First Call, to report $680.4 million in cash flow.",2001-11-01 01:00:00,-0.3182,-0.1779,-0.5766,"       Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0      LOSS      0         1         0            0          0             0   
1      LOSS      0         1         0            0          0             0   
2   ASSUMED      0         0         0            1          0             0   
3  REJECTED      0         1         0            0          0             0   

   Superfluous  Interesting  
0            0            0  
1            0            0  
2            0            0  
3            0            0  ",0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,134,0.0,0.022388059701492536,0.0,0.007462686567164179,0.0,0.0,0.0,0.0,0.022388059701492536,-0.022388059701492536
1,10,10,https://www.nytimes.com/2001/12/03/us/excite-said-to-reach-pact-to-keep-internet-service-on.html,Excite Said to Reach Pact To Keep Internet Service On,"Excite@Home reached a tentative agreement yesterday with a group of cable companies, including Cox Communications and the Comcast Corporation, to keep their customers connected to Excite's high-speed Internet service, according to several people involved in the negotiations. But not all of the creditors of Excite, which has filed for bankruptcy protection, have decided whether to support the agreement. That means it may not be clear for days whether 2.7 million people in North America will have their cable Internet service cut off.",2001-12-03 01:00:00,0.4939,0.8525,0.9103,"         Word  Modal  Negative  Positive  Uncertainty  Litigious  \
0   TENTATIVE      0         0         0            1          0   
1  BANKRUPTCY      0         1         0            0          0   
2         MAY      3         0         0            1          0   
3        WILL      1         0         0            0          0   
4         CUT      0         1         0            0          0   

   Constraining  Superfluous  Interesting  
0             0            0            0  
1             0            0            0  
2             0            0            0  
3             0            0            0  
4             0            0            0  ",4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,84,0.047619047619047616,0.023809523809523808,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.023809523809523808,-0.023809523809523808
2,11,11,https://www.nytimes.com/2001/12/03/business/suitors-line-up-to-compete-for-cable-tv-unit-at-at-t.html,Suitors Line Up to Compete For Cable TV Unit at AT&T,"The story of AT&T's cable television unit begins a new chapter this evening, when bids are due from competing suitors for the unit, the nation's largest cable operation. AOL Time Warner, Comcast and Cox Communications, which are each already among the nation's biggest cable companies, are all expected to submit formal bids. Microsoft, meanwhile, is expected to propose acquiring a minority stake, as it looks toward winning a captive market for its own software products.",2001-12-03 01:00:00,0.0,0.5267,0.5267,"      Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  CHAPTER      0         0         0            0          0             0   
1  WINNING      0         0         1            0          0             0   

   Superfluous  Interesting  
0            0            1  
1            0            0  ",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,75,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.013333333333333334,-0.013333333333333334,0.013333333333333334
3,14,14,https://www.nytimes.com/2001/12/04/business/cable-companies-sign-on-for-excite-home-service.html,Cable Companies Sign On For Excite@Home Service,"Excite@Home signed an agreement yesterday afternoon with a group of cable companies, including the Comcast Corporation and Cox Communications, to maintain high-speed Internet access for their customers. The deal, which the companies have been working on since Friday, will provide approximately $355 million to tide Excite over for the next three months, while the two major companies create replacement networks. Of that figure, Cox and Comcast will each pay $160 million.",2001-12-04 01:00:00,0.0,0.7906,0.7906,"            Word  Modal  Negative  Positive  Uncertainty  Litigious  \
0           WILL      1         0         0            0          0   
1           WILL      1         0         0            0          0   
2  APPROXIMATELY      0         0         0            1          0   

   Constraining  Superfluous  Interesting  
0             0            0            0  
1             0            0            0  
2             0            0            0  ",2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,72,0.027777777777777776,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0
4,15,15,https://www.nytimes.com/2001/12/04/business/market-place-three-giants-square-off-bidding-for-biggest-cable-prize-all-t.html,"Market Place; Three giants square off in the bidding for the biggest cable prize of all, AT&T Broadband.","THREE of the nation's biggest cable companies lined up yesterday in hopes of taking over the largest one, AT&T Broadband, submitting complex bids that AT&T will begin reviewing in the coming days. And Microsoft, which is already a minority stakeholder in AT&T, has indicated that it will financially support competing bids for AT&T Broadband from both the Comcast Corporation and Cox Communications in an effort to keep it out of the hands of AOL Time Warner.",2001-12-04 02:00:00,0.5106,0.6705,0.8316,"   Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  WILL      1         0         0            0          0             0   
1  WILL      1         0         0            0          0             0   

   Superfluous  Interesting  
0            0            0  
1            0            0  ",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20,20,https://www.nytimes.com/2001/12/10/business/at-t-finds-cable-tv-bids-unacceptable.html,AT&T Finds Cable TV Bids Unacceptable,"AT&T has reviewed the three competing bids for its cable television business, the nation's largest, and found all of them inadequate. AT&T's chairman conveyed that message to the bidders -- AOL Time Warner, Comcast and Cox Communications -- on Saturday evening, after its board spent the day considering the bids. Although the board is hoping that the response may elicit one or more sweetened offers, people close to the deliberations said, it is beginning to seem that AT&T is once again leaning toward a spinoff of its cable business into an independent company.",2001-12-10 01:00:00,-0.4588,0.0258,-0.4404,"         Word  Modal  Negative  Positive  Uncertainty  Litigious  \
0  INADEQUATE      0         1         0            0          0   
1         MAY      3         0         0            1          0   

   Constraining  Superfluous  Interesting  
0             0            0            0  
1             0            0            0  ",3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,91,0.03296703296703297,0.01098901098901099,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.01098901098901099,-0.01098901098901099
6,21,21,https://www.nytimes.com/2001/12/12/business/technology-briefing-internet-judge-clears-excite-home-plan.html,Technology Briefing | Internet: Judge Clears Excite@Home Plan,"The At Home Corporation may continue to provide cable companies with high-speed Internet service under a $355 million agreement, a judge ruled after the companies waived some claims against each other. Federal Bankruptcy Judge Thomas Carlson approved the settlement, saying At Home has gained something very valuable.'' The contracts with Cox Communications Inc., the Comcast Corporation and other cable companies will give At Home financing to continue operating through the end of February, when it plans to cease operations.",2001-12-12 01:00:00,0.0772,0.8225,0.836,"         Word  Modal  Negative  Positive  Uncertainty  Litigious  \
0         MAY      3         0         0            1          0   
1      CLAIMS      0         1         0            0          1   
2     AGAINST      0         1         0            0          0   
3  BANKRUPTCY      0         1         0            0          0   
4  SETTLEMENT      0         0         0            0          1   
5      GAINED      0         0         1            0          0   
6    VALUABLE      0         0         1            0          0   
7   CONTRACTS      0         0         0            0          1   
8        WILL      1         0         0            0          0   
9       CEASE      0         1         0            0          0   

   Constraining  Superfluous  Interesting  
0             0            0            0  
1             0            0            0  
2             0            0            0  
3             0            0            0  
4             0            0            0  
5             0            0            0  
6             0            0            0  
7             0            0            0  
8             0            0            0  
9             0            0            0  ",4.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,81,0.04938271604938271,0.04938271604938271,0.024691358024691357,0.012345679012345678,0.037037037037037035,0.0,0.0,0.0,0.024691358024691357,-0.024691358024691357
7,22,22,https://www.nytimes.com/2001/12/14/business/company-news-at-t-is-said-to-be-requesting-new-bids-for-cable-unit.html,AT&T IS SAID TO BE REQUESTING NEW BIDS FOR CABLE UNIT,"AT&T has asked the three companies that are vying to acquire its cable television business to submit new proposals by Sunday morning, people close to the talks said yesterday. AT&T's board is set to weigh the offers on Wednesday and could make a final decision on the cable unit's fate at that meeting, the people said. AOL Time Warner, Comcast and Cox Communications have each submitted bids to acquire the unit. At a meeting last weekend, AT&T's board deemed each of those offers inadequate. Financial details have not been disclosed, but any sale would be worth at least $40 billion. Seth Schiesel (NYT)",2001-12-14 01:00:00,0.0,0.128,0.128,"         Word  Modal  Negative  Positive  Uncertainty  Litigious  \
0       COULD      3         0         0            1          0   
1  INADEQUATE      0         1         0            0          0   
2   DISCLOSED      0         1         0            0          0   
3       WOULD      2         0         0            0          0   

   Constraining  Superfluous  Interesting  
0             0            0            0  
1             0            0            0  
2             0            0            0  
3             0            0            0  ",5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,103,0.04854368932038835,0.019417475728155338,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.019417475728155338,-0.019417475728155338
8,23,23,https://www.nytimes.com/2001/12/17/us/at-t-weighs-cable-unit-sale-as-bids-are-revised.html,AT&T Weighs Cable Unit Sale as Bids Are Revised,"Bidders in the auction for AT&T's cable television business submitted revised offers late yesterday in a last-ditch effort to persuade AT&T's board to sell the operation. AOL Time Warner, Comcast and Cox Communications submitted reworked offers, according to executives involved in the auction, after an admonishment last week from AT&T's chairman, C. Michael Armstrong, that the bids were inadequate.",2001-12-17 01:00:00,0.0,-0.4019,-0.4019,"         Word  Modal  Negative  Positive  Uncertainty  Litigious  \
0     REVISED      0         0         0            1          0   
1        LATE      0         1         0            0          0   
2  INADEQUATE      0         1         0            0          0   

   Constraining  Superfluous  Interesting  
0             0            0            0  
1             0            0            0  
2             0            0            0  ",0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,60,0.0,0.03333333333333333,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.03333333333333333,-0.03333333333333333
9,26,26,https://www.nytimes.com/2001/12/19/business/at-t-s-board-to-meet-today-on-cable-sale-or-a-spinoff.html,AT&T's Board To Meet Today On Cable Sale Or a Spinoff,"Amid a late push by AOL Time Warner, AT&T's board is to meet in Manhattan today to decide whether to sell the company's cable television operation or instead spin it off as an independent company. AOL Time Warner, Comcast and Cox Communications have each submitted bids to acquire AT&T's cable business, the nation's biggest.",2001-12-19 01:00:00,0.0,0.0,0.0,"   Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  LATE      0         1         0            0          0             0   

   Superfluous  Interesting  
0            0            0  ",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,-0.018518518518518517
