,link,headline,summary,date
2144,http://query.nytimes.com/gst/fullpage.html?res=9506E5D9113CF936A25752C0A9679D8B63,Community Health Seeks Board Seats at Tenet,"12:48 p.m. | Updated Community Health Systemssaid on Friday that it would seek to replace the board of Tenet Healthcare, as it pursues a $3.3 billion hostile takeover of its smaller competitor. The proxy fight follows Tenet's strong rejection of Community's $6-a-share cash-and-stock bid as undervalued and its adoption of a poison pill aimed at preventing any shareholder from gaining more than a 4.9 percent stake in the company.",
1883,http://query.nytimes.com/gst/fullpage.html?res=9C06E7DD1239F93BA35756C0A9679D8B63,Pop/Jazz,"Alabama HANGOUT MUSIC FESTIVAL Gulf Shores, May 20-22. Anyone looking to combine two timeless summer pastimes -- beach lounging and festivalgoing -- will be well served by the Hangout Music Festival, which sets up on Alabama's white sand gulf shore for three days each summer. A boon for the less rustic among us (''Shed the mud boots and sleeping bags and wake up each morning from a fully equipped condo,'' its Web site suggests), the lineup includes Paul Simon, Foo Fighters, Widespread Panic, the Black Keys, the Flaming Lips, My Morning Jacket, Cee-Lo Green, the Avett Brothers, Girl Talk, Primus and Ween. hangoutmusicfest.com.",
1540,http://query.nytimes.com/gst/fullpage.html?res=9F0CE6D9143CF932A25752C0A9679D8B63,Facebook's Google Effect,"''I hope the only people harmed are speculators.'' Roger McNamee, the venture capital investor, was discussing the new race in Silicon Valley to buy up shares of hot private Internet companies in the wake of Facebook's $2 billion fund-raising last week that valued the company at $50 billion.",
1055,http://query.nytimes.com/gst/fullpage.html?res=9400EFD71530F936A35750C0A9679D8B63,"Mayor, on Radio, Takes Queries on Twitter","If you could ask Mayor Michael R. Bloomberg a question, anything at all, what would it be? Would it be about traffic or budget cuts? Crime? Layoffs? Maybe you'd go for an old standby: What's it like to be so rich? Or perhaps you've been wondering about the physics behind magnets.",
1886,http://query.nytimes.com/gst/fullpage.html?res=9806E4DB1239F937A25751C0A9679D8B63,"From Afar, News About Egypt","While people debated whether Web sites like Twitter were important in organizing protests in Tunisia and Egypt, Andy Carvin was organizing information about the protests in an innovative way. Mr. Carvin's Twitter account was transformed into a personal news wire about Egypt and was widely praised in news media circles. By seeking out the voices of sources in Egypt and sharing them almost in real time on a social networking site, he ''provided a hint of what news can look like in an increasingly networked media environment,'' the Nieman Journalism Lab wrote in a blog post on Friday.",
1887,http://query.nytimes.com/gst/fullpage.html?res=9905EFD91139F934A35756C0A9679D8B63,"Stressing Need to Entertain, Oprah Network Ousts Chief","9:17 p.m. | Updated | Dissatisfied by the first ratings report cards for OWN, Oprah Winfrey and her business partner, Discovery Communications, said on Friday that they had dismissed the four-month-old channel's chief executive, Christina Norman. Peter Liguori, the chief operating officer for Discovery Communications, will take over OWN through at least the end of the year. His assignment is formidable: to lure more viewers to a fledgling channel that most people cannot easily find on their cable systems and to manage the introduction for its two most anticipated programs, one featuring Ms. Winfrey and one featuring Rosie O'Donnell.Mr. Liguori indicated in an interview that he would try to amp up the entertainment value of OWN's programs without losing sight of Ms. Winfrey's live-your-best-life principles. ''I think you're going to see more joy on the network,'' he said. Ms. Winfrey and David Zaslav, the chief executive of Discovery, preached patience in the months preceding the Jan. 1 introduction of OWN: The Oprah Winfrey Network, which is built around the supremely valuable Oprah brand. But both have been disappointed by the low ratings for the channel's mix of feel-good reality shows, talk shows and films. On a total day basis, OWN is barely outperforming the channel it replaced, Discovery Health, despite hundreds of million of dollars of investment.",
2183,http://query.nytimes.com/gst/fullpage.html?res=9C0DE1D6143CF933A05752C1A9669D8B63,'Dr. Laura' Moves Show To Sirius XM,Sirius XM Radio announced on Monday that it had signed the radio host Laura Schlessinger to a daily show - just three months after her use of a racial epithet drew wide criticism and led her to quit her current contract.,
216,https://www.nytimes.com/Link.asp?I=LS000148295498,"Paid Notice: Deaths CARLTON, CONSTANCE S.","<!-- CONSTANCE S. CARLTON -->CARLTON--Constance S., 84, of Short Hills, NJ , died on Monday, January 31, 2011. Predeceased by her beloved husband Robert T. Carlton, former vice chair of MacAndrews and Forbes Group Inc., she is survived by four children, Robert T. Carlton, Jr., Christopher L. Carlton, Marianne Carlton, and Dorothy Carlton-Herity; ten grandchildren; a brother and a sister. A Funeral Mass will be celebrated at 10am on Friday February 4, 2011 at St. Rose of Lima Church, Short Hills, NJ. Interment will follow in the Church cemetery. Visitation will be on Thursday from 3-5pm and 7-9pm at Bradley, Smith & Smith Funeral Home 415 Morris Ave., Springfield NJ . For more info, or to send condolences to the family, please visit: <a href=""http://bradleyfuneralhomes.com"" target=""_new"">bradleyfuneralhomes.com</a><br><br>",
215,http://query.nytimes.com/gst/fullpage.html?res=9B06E0D8103AF931A35751C0A9679D8B63,"Paid Notice: Deaths CARLTON, CONSTANCE S.","CARLTON--Constance S.,84, of Short Hills, NJ , died on Monday, January 31, 2011. Predeceased by her beloved husband Robert T. Carlton, former vice chair of MacAndrews and Forbes Group Inc., she is survived by four children, Robert T. Carlton, Jr., Christopher L. Carlton, Marianne Carlton, and Dorothy Carlton-Herity; ten grandchildren; a brother and a sister. A Funeral Mass will be celebrated at 10am on Friday February 4, 2011 at St. Rose of Lima Church, Short Hills, NJ. Interment will follow in the Church cemetery. Visitation will be on Thursday from 3-5pm and 7-9pm at Bradley, Smith & Smith Funeral Home 415 Morris Ave., Springfield NJ . For more info, or to send condolences to the family, please visit: bradleyfuneralhomes.com",
388,http://query.nytimes.com/gst/fullpage.html?res=9C02E2DA143CF93AA15752C1A9669D8B63,Magazines Take a Shot at the Net,"So which is better: a print magazine or its digital version? The newest ad for the nation's major magazine publishers, which have been running a promotional campaign to counter perceptions that print is a dying medium, doesn't side with its newer medium.",
