,date,headline,link,summary
12,,"Paid Notice: Deaths COURTENAY, ELAINE K.",https://www.nytimes.com/Link.asp?I=LS000170815911,"<!-- ELAINE K. COURTENAY --><IMG SRC=""/Images/Cobrands/NYTimes/Photos/NYT-1000631319-COURTNEYE.1_012128.jpg"" lgyOrigName=""NYT-1000631319-COURTNEYE.1.jpg"" ALIGN=""LEFT"" vspace=""4"" hspace=""10"">COURTENAY--Elaine K., 86, passed away April, 17th, 2014 in New York City. She was born in Rochester, NY on February 4th, 1928. She was raised in Barrington, Il where she graduated from high school. She attended Knox College in Illinois and Northwestern University before heading to New York City. She worked for General Cable of New York and AT&T. Elaine was an avid patron of the arts and founded Courtenay Artists, Inc., a talent agency, and she placed many famous singers and opera stars. She was preceded in death by her loving husband James Clark Courtenay, Jr., formerly of Louisville, KY, and her parents Mabel Barron and Charles Kerry. She is survived by her sister Linda Truxell of Livonia, MI; brothers Warren Kerry of Daytona Beach, FL, John Kerry of Treasure Island, FL, and several close nieces and nephews, and her beloved Papillon dog, Coquine Posy. The family wishes to express special thanks to her wonderful caregiver and friend, Candice Hutcherson. Services were held yesterday at the Embry-Bosse Funeral Home, 2723 Preston Highway, Louisville, KY followed by burial at Cave Hill Cemetery next to her beloved husband Jim. Memorial gifts may be made to Papillon Haven Rescue, c/o Jan Jordan, P.O. Box 20306, Hot Springs, AR 71903.<br><br>"
13,,"Paid Notice: Deaths COURTENAY, ELAINE K.",http://query.nytimes.com/gst/fullpage.html?res=9407E7D9103AF934A15757C0A9629D8B63,"COURTENAY--Elaine K.,86, passed away April, 17th, 2014 in New York City. She was born in Rochester, NY on February 4th, 1928. She was raised in Barrington, Il where she graduated from high school. She attended Knox College in Illinois and Northwestern University before heading to New York City. She worked for General Cable of New York and AT&T. Elaine was an avid patron of the arts and founded Courtenay Artists, Inc., a talent agency, and she placed many famous singers and opera stars. She was preceded in death by her loving husband James Clark Courtenay, Jr., formerly of Louisville, KY, and her parents Mabel Barron and Charles Kerry. She is survived by her sister Linda Truxell of Livonia, MI; brothers Warren Kerry of Daytona Beach, FL, John Kerry of Treasure Island, FL, and several close nieces and nephews, and her beloved Papillon dog, Coquine Posy. The family wishes to express special thanks to her wonderful caregiver and friend, Candice Hutcherson. Services were held yesterday at the Embry-Bosse Funeral Home, 2723 Preston Highway, Louisville, KY followed by burial at Cave Hill Cemetery next to her beloved husband Jim. Memorial gifts may be made to Papillon Haven Rescue, c/o Jan Jordan, P.O. Box 20306, Hot Springs, AR 71903."
219,2014/03/30,Warner’s C.E.O. Is Bullish on the Big Screen,https://www.nytimes.com/2014/03/30/business/media/warners-ceo-is-bullish-on-the-big-screen.html,"In Hollywood’s sea of bravado, Kevin Tsujihara, the quiet new chief executive of Warner Bros., may seem miscast. But he is already making bold bets to keep the studio on top."
24,2014/03/30,In Our Pages: March 31,https://iht-retrospective.blogs.nytimes.com/2014/03/30/in-our-pages-march-31/,"Highlights from the International Herald Tribune archives: A steamer cut in two after a collision at sea in 1889, and an associate of the heavyweight boxer Sonny Liston denies fronting for criminals in 1964."
36,2014/03/30,A Lone Ranger of the 401(k)’s,https://www.nytimes.com/2014/03/30/business/a-lone-ranger-of-the-401-k-s.html,A lawyer’s string of cases highlights a corporate responsibility to monitor the costs and fees in employees’ retirement plans.
192,2014/03/30,"In Some Ways, It’s Looking Like 1999 in the Stock Market",https://www.nytimes.com/2014/03/30/business/in-some-ways-its-looking-like-1999-in-the-stock-market.html,A surge in Internet and biotech stock values recalls an earlier bubble. But prices of other stocks seem more tethered to reality.
51,2014/03/30,"Tom Erickson of Acquia, on the Philosophy of ‘Ready, Fire, Aim’",https://www.nytimes.com/2014/03/30/business/tom-erickson-of-acquia-on-the-philosophy-of-ready-fire-aim.html,"The chief executive of an open-source software company says he wants to hire people “who are going to jump in and own their work, who are going to risk something, and risk failing.”"
205,2014/03/30,"Meet Lucy H. Koh, a Silicon Valley Judge",https://bits.blogs.nytimes.com/2014/03/30/meet-lucy-h-koh-a-silicon-valley-judge/,"Judge Lucy H. Koh, who gained fame during her handling of the high-profile patent infringement lawsuit between Apple and Samsung Electronics, has become the de facto judge for landmark Silicon Valley lawsuits."
162,2014/03/30,Michael Lewis Views Market as ‘Rigged’ in Favor of High-Speed Traders,https://www.nytimes.com/2014/03/30/michael-lewis-views-market-as-rigged-in-favor-of-high-speed-traders/,"Michael Lewis, whose new book, “Flash Boys,” goes on sale on Monday, is revisiting the ills of capitalism."
208,2014/03/30,How to Harm Investors,https://www.nytimes.com/2014/03/30/opinion/sunday/how-to-harm-investors.html,Proposed crowdfunding rules by the Securities and Exchange Commission need to be thoroughly reworked.
