,date,headline,link,summary
100,,"Really, Really Short Workouts",https://www.nytimes.com/guides/well/really-really-short-workouts,"Think you’re too busy to work out? We have the workout for you. In minutes, high-intensity interval training (H.I.I.T.) will have you sweating, breathing hard and maximizing the health benefits of exercise without the time commitment. Best of all, it’s scientifically proven to work."
614,1993/01/22,Uncovered Short Sales Decline 8% on Big Board,https://www.nytimes.com/1993/01/22/business/uncovered-short-sales-decline-8-on-big-board.html,"Reversing a 10-month trend, the number of shares sold short and not yet covered on the New York Stock Exchange fell almost 8 percent in the period from mid-December to mid-January, the Big Board reported yesterday. At the end of the period on Jan. 15, short interest fell sharply to 931.8 million shares. That was the lowest level since September. In the previous period, short interest surpassed the billion mark for the first time."
587,1993/01/22,BUSINESS DIGEST,https://www.nytimes.com/1993/01/22/business/business-digest-924593.html,"Companies British Airways invested $300 million for a 20 percent stake in USAir. The deal came a month after the two companies had withdrawn a plan for combined operations amid objections from U.S. carriers and the Transportation Department. [ Page D1. ] A high-profile and flourishing Florida brokerage firm appears to be having a problem with information on its stock picks' being leaked to select investors in advance of wide release. [ D1. ] I.B.M. is said to be withdrawing support of a renown computer designer who hopes to build the world's fastest supercomputer. The move would be more evidence of financial woes. [ D1. ] Wang's chairman stepped down after an unsuccessful three-year effort to resuscitate the computer company. He said Wang needed to emerge from bankruptcy with less costly management. [ D1. ] Nynex, Bell Atlantic and U S West reported higher fourth-quarter earnings. But charges for work-force reductions and accounting changes made year-to-year comparisons difficult. [ D2. ] McDonnell Douglas earnings fell 61.9 percent in 1992 because of losses from its C-17 cargo plane and continued commercial aircraft declines. Fourth-quarter earnings declined 59.2 percent. [ D4. ] Pfizer reported strong profit and sales gains, staking a claim as the world's fastest growing large drug company. [ D4. ] Dell will sell low-priced computers directly to Japanese customers, heating up a personal-computer price war. [ D4. ] May Department Stores will move its New York merchandising office to its headquarters in St. Louis. [ D4. ] The Economy The Sematech chip-making consortium accomplished its goal of using American-made equipment to produce a chip with ultra-thin circuitry. It met the goal on time and on budget. [ D4. ] Zoe Baird withdrew her name as President Clinton's nominee to be Attorney General. [ A1. ] The Senate confirmed Ronald H. Brown as Commerce Secretary, Robert B. Reich as Labor Secretary and Leon E. Panetta as director of the Office of Management and Budget. [ A13. ] The economy except in California continues to improve, with gains in retailing, construction and factories, the Federal Reserve said. But job growth continues to lag. [ A16. ] International Japanese companies are losing their grip on the computer memory chip market. High costs and sharp competition have caused many to curb production of widely used D-RAM's, their mainstay product since the 1980's. [ D1. ] Germany will cut benefits for the poor, lower tax breaks for the rich and put a surcharge on corporate and income taxes to finance rebuilding of the formerly communist east. [ A3. ] Markets Stocks rose as bonds rallied. The Dow gained 11.07, to 3,253.02, and Nasdaq stocks continued their hot streak. [ D6. ] Shares sold short and not yet covered on the New York Stock Exchange fell almost 8 percent, reversing a 10-month trend. [ D16. ] Treasury prices inched higher, with the 30-year bond gaining back what it lost Wednesday. Its yield fell to 7.30 percent. [ D14. ] Livestock prices fell sharply on forecasts for good weather and oil prices rebounded in New York. [ D13. ] The dollar settled higher. Gold prices fell in the U.S. but advanced overseas. [ D13. ] Today's Columns Pepsi's new ads scheduled for the Super Bowl return to themes emphasizing youth, moving away from an appeal to older consumers begun only a year ago. Stuart Elliott: Advertising. [ D2. ] Education Alternatives has attracted attention on Wall Street with its soaring revenues and stock price. But the school management company insists that its business is improving education, not enriching investors. Kurt Eichenwald: Market Place. [ D6. ]"
288,1993/01/22,Bell Atlantic Corp. reports earnings for Qtr to Dec 31,https://www.nytimes.com/1993/01/22/business/bell-atlantic-corp-reports-earnings-for-qtr-to-dec-31.html,
516,1993/01/22,Three 'Baby Bells' Report Better 4th-Quarter Results,https://www.nytimes.com/1993/01/22/business/three-baby-bells-report-better-4th-quarter-results.html,Three regional Bell telephone companies reported yesterday that their fourth-quarter results improved. But year-to-year comparisons are difficult to make because of one-time charges for work-force reductions and large noncash charges to cover accounting changes involving retirement benefits.
582,1993/01/28,BUSINESS DIGEST,https://www.nytimes.com/1993/01/28/business/business-digest-439093.html,The Economy The Commerce Department imposed steep temporary tariffs on steel imports from 19 countries after determining they were selling steel in the United States for less than at home. It was the Clinton Administration's first big trade decision. [ Page A1. ] The Federal Reserve chairman gave his blessing to the Clinton Administration's economic policy of modest stimulus. [ D1. ]
568,1993/01/28,'Baby Bells' Protest A.T.& T.-McCaw Deal,https://www.nytimes.com/1993/01/28/business/company-news-baby-bells-protest-at-t-mccaw-deal.html,"Rebelling against their former parent, three of the seven ""Baby Bell"" telephone companies charged today that A.T.& T.'s proposed alliance with the nation's biggest cellular telephone company would stifle competition. In a petition filed with the Federal Communications Commission, the Nynex Corporation, the Southwestern Bell Corporation and the Bell Atlantic Corporation said the American Telephone and Telegraph Company's $3.8 billion bid to buy one-third of McCaw Cellular CommunicationsInc. would put A.T.& T. back in the local telephone business and raise fundamental concerns about competition."
596,1993/02/04,It's a Bank. It's a Brain. It's Superphone.,https://www.nytimes.com/1993/02/04/technology/it-s-a-bank-it-s-a-brain-it-s-superphone.html,"PROGRESS lurches on. In the last few years, the nation's telephone companies, especially local carriers, have begun offering a bewildering array of new phone services. Companies like Bell Atlantic and Nynex have been aggressively selling services like ""three-way calling"" and ""speed calling,"" often with free installation. Most of these services go begging. Some services are just poorly marketed. Others are not widely available, so they get little favorable word-of-mouth. But, for the most part, the services are difficult to use, discouraging even interested consumers."
588,1993/02/09,Disks Back Up Books,https://www.nytimes.com/1993/02/09/science/peripherals-disks-back-up-books.html,"IT is less and less common these days to publish a computer book without including one or more disks of software. Some of these collections are genuinely valuable; others rely on overly familiar shareware and freeware. Since the life of a computer book on a shop's shelf is so short, at three to six months, the publisher may feel that software helps to justify a price of $40 or so for a 300-page paperback. This is the first of two columns on book-disk combinations with interesting and useful software: this week, the PC; next week, the Macintosh."
594,1993/02/10,A Phone Company Buys Entry Into Cable Television Business,https://www.nytimes.com/1993/02/10/business/a-phone-company-buys-entry-into-cable-television-business.html,"In the first transaction of its kind, a telephone company has acquired a cable television system, signaling the start of a race between the two industries to dominate the delivery of communication services of all kinds to the home. Both industries want to use their elaborate networks to provide movies on demand, hundreds of channels of television programming and on-line electronic libraries. And advances in technologies, blurring the distinctions between what the two industries can do, have set off a Darwinian contest."
578,1993/02/11,Market Place; Phone companies will churn the next wave of cable acquisitions.,https://www.nytimes.com/1993/02/11/business/market-place-phone-companies-will-churn-the-next-wave-of-cable-acquisitions.html,"CABLE-TELEVISION stocks and companies with some cable holdings have benefited from the news on Tuesday that the Southwestern Bell Corporation would spend $650 million to buy two cable systems in the Washington area. The increase was prompted by two facts: First, it was the first cable deal after a long period. And the sale price was roughly 10.5 times the company's cash flow, down relatively little from the rich deals of the 1980's. Gordon Crawford, senior vice president at the Capital Research Company, a major institutional shareholder in a host of cable companies, said: ""To me this was the opening salvo in a war. These guys have been gentlemanly and staying out of everyone's turf. Now that it has started, everyone will have to do something."
525,1993/02/17,COMPANY NEWS,https://www.nytimes.com/1993/02/17/business/company-news-316493.html,"BANC ONE CORP., Columbus, Ohio, said its unit, Banc One Colorado Corp., would acquire Colorado Western Bancorp. Terms were not disclosed. BIRTCHER MEDICAL SYSTEMS INC., El Monte, Calif., has agreed to acquire Beacon Laboratories, Broomfield, Colo., a manufacturer of electrosurgery products."
519,1993/02/18,Intel Maps Outlook for New Markets,https://www.nytimes.com/1993/02/18/business/company-news-intel-maps-outlook-for-new-markets.html,"Andrew S. Grove, chairman of the Intel Corporation, sketched out today his company's vision of how ""electronic meetings"" -- made possible by blending personal computers and telephones -- would drive growth in the desktop computer industry in the future. In a meeting with Wall Street analysts near Intel's headquarters here, Mr. Grove said the company would invest $1.6 billion in new capital equipment in 1993 to keep its lead in the world market for semiconductors."
591,1993/02/21,Uruguayans Resisting Call For Changes,https://www.nytimes.com/1993/02/21/world/uruguayans-resisting-call-for-changes.html,"There is a political slogan painted on a wall not far from the office of President Luis Alberto Lacalle. ""Little, but ours,"" it says. The three words may explain why Uruguay, a relatively small nation sandwiched between Brazil and Argentina, continues to foil Mr. Lacalle's attempts to modernize the economy."
576,1993/02/23,Computer Makers Told To Get Involved in Rules,https://www.nytimes.com/1993/02/23/business/computer-makers-told-to-get-involved-in-rules.html,"The chairman of the House subcommittee on telecommunications warned today that the computer industry was in danger of losing out in the emerging but potentially enormous business of providing computer services to American homes and offices unless it became involved in the Federal standard-setting that will occur this year. The panel's chairman, Representative Edward J. Markey, Democrat of Massachusetts, told a gathering of computer executives here that under the Clinton Administration, with its penchant for technology policy, crucial steps will be taken this year in setting the nation on the path toward establishing a so-called data superhighway that will eventually reach every home in the country."
527,1993/03/03,BRIEFS,https://www.nytimes.com/1993/03/03/business/briefs-912193.html,"Debt * Baltimore Gas and Electric Co. is offering $125 million of 7 1/2 percent debentures due in 2023 at 99.126 to yield 7.573 percent through First Boston Corp. Callable in five years, the debentures are rated A-1 by Moody's Investors Service, A+ by Standard & Poor's and AA- by Duff & Phelps. * Bell Telephone Company of Pennsylvania, Philadelphia, a unit of Bell Atlantic Corp., is offering $225 million of 7 3/8 percent debentures due in 2033 at 99.047 to yield 7.45 percent through First Boston Corp. Callable in 10 years, the debentures are rated Aa-1 by Moody's, AA by S.& P., and AA+ by Duff & Phelps."
590,1993/03/03,Real Estate; Philadelphia's new convention center draws hotel chains' interest.,https://www.nytimes.com/1993/03/03/business/real-estate-philadelphia-s-new-convention-center-draws-hotel-chains-interest.html,"HOTEL operators have been maneuvering for position in downtown Philadelphia in recent months in anticipation of the opening of a new convention center this summer. Several hotel companies new to the city are examining opportunities in a market generally considered underserved, and renovation programs are in progress at two big downtown properties."
249,1993/03/12,BELL ATLANTIC TO SELL PART OF NEW ZEALAND STAKE,https://www.nytimes.com/1993/03/12/business/company-news-bell-atlantic-to-sell-part-of-new-zealand-stake.html,"Bell Atlantic Holdings Ltd., a unit of the Bell Atlantic Corporation, said yesterday that it had agreed to sell 108.925 million shares, or 4.61 percent, of the Telecom Corporation of New Zealand to BZW New Zealand Ltd., an investment trust fund. After the transaction is settled next week, Bell Atlantic Holdings will hold 698.296 million shares, or 29.56 percent of the New Zealand company. Bell Atlantic and the Ameritech Corporation bought Telecom from the New Zealand Government in 1990. The two companies have agreed to reduce their combined ownership in the company to no more than 49.9 percent by September 1994. They sold 25 percent of Telecom to the public in July 1991."
230,1993/03/13,BELL ATLANTIC-NEW ZEALAND ACCORD,https://www.nytimes.com/1993/03/13/business/company-news-bell-atlantic-new-zealand-accord.html,"Bell Atlantic Holdings Ltd. has accepted an unsolicited offer from Barclays de Zoete Wedd New Zealand to sell a 4.6 percent stake in the Telecom Corporation of New Zealand Ltd. for $147 million. Bell Atlantic is a holding company for the majority shareholders in Telecom: Bell Atlantic and Ameritech, another United States phone company. They bought Telecom from the New Zealand Government in 1989. The companies later sold part of their holdings in a public stock offering, reducing their combined stake to 59.1 percent before yesterday's transaction."
222,1993/03/21,One More Kudo for Bell Atlantic,https://www.nytimes.com/1993/03/21/business/l-one-more-kudo-for-bell-atlantic-247493.html,"To the Editor: Adding something to ""A Baby Bell Primed for the Big Fight"" (Feb. 21), Bell Atlantic is to be complimented in that it is the only Baby Bell that still supplies out-of-town (non-Bell Atlantic) telephone directories to public libraries in its service area without charge. This makes these unique sources available to the public free of charge. MARVIN H. SCILKEN Orange, N.J., Feb. 21 The author is director of the Orange Public Library."
503,1993/03/22,Dividend Meetings,https://www.nytimes.com/1993/03/22/business/dividend-meetings-146593.html,Following is a partial list of dividend meetings this week: MONDAY Ameron Inc BellSouth Corp Standard Prods Co TUESDAY Bell Atlantic Corp Centerior Energy Corp Great Atl & Pac Tea WEDNESDAY Brooklyn Union Gas Clarco Inc Commercial Intertech Federal Mogul Corp THURSDAY Boston Edison Co Grow Group Inc Charles Schwab Corp Transatlantic Hldgs Inc Wyle Labs FRIDAY Cen Hudson Gas & Elec Knight-Ridder Inc Southwestern Bell Corp
559,1993/03/31,Teller Machines Inspire a New Kiosk Business,https://www.nytimes.com/1993/03/31/business/business-technology-teller-machines-inspire-a-new-kiosk-business.html,"Federal Express, the company that has thrived by relentlessly computerizing an idea older than the Pony Express, is now turning to automated bank teller machines for inspiration. The new machines, which Federal Express plans to begin introducing in several big cities later this spring, would allow anybody with a credit card or prearranged account number to drop off an overnight letter or small package at a self-service kiosk."
567,1993/03/31,New Wireless Phone System Introduced,https://www.nytimes.com/1993/03/31/business/company-news-new-wireless-phone-system-introduced.html,"It costs a lot more than your average telephone as much as $2,500 to install -- but Southwestern Bell and Panasonic introduced a new wireless telephone system today that works like a cordless phone in an office building and a cellular phone out on the street. Called Freedom Link, the new system marks the first commercial product that comes close to letting a person use the same pocket-sized telephone regardless of location."
490,1993/04/04,"Right. Let's Make That 'Once Again, Kudos . . .'",https://www.nytimes.com/1993/04/04/business/l-right-let-s-make-that-once-again-kudos-086493.html,"To the Editor: Regarding ""One More Kudo for Bell Atlantic"" (Letters, March 21): Pray, what is a kudo ? Is it related to a patho ? Kudos please, collective noun, five letters. KAY KUHN Princeton, N.J., March 21"
570,1993/04/19,America West has its employees singing and dancing about its new theme: respect.,https://www.nytimes.com/1993/04/19/business/media-business-advertising-america-west-has-its-employees-singing-dancing-about.html,"BEGINNING today, America West Airlines offers fliers a new twist on the old song and dance. In its largest campaign since it filed for Chapter 11 bankruptcy protection in June 1991, America West offers a promise: ""America West. We haven't forgotten the meaning of respect."""
556,1993/04/22,FINANCE BRIEFS,https://www.nytimes.com/1993/04/22/business/finance-briefs-655093.html,"Debt * Avco Financial Corp., a subsidiary of Textron Inc., is offering $200 million of 5.50 percent notes due in 1998 at 99.785, to yield 5.55 percent, through Salomon Brothers. The noncallable notes are rated A-2 by Moody's and A by S.& P. and Duff & Phelps. * Baker Hughes Inc., Houston, has filed with the Securities and Exchange Commission for a public offering of $250 million of liquid-yield option notes due in 2008 through Merrill Lynch."
