,link,headline,summary,date
883,http://query.nytimes.com/gst/fullpage.html?res=9F01EFD8163AF932A15754C0A9639D8B63,"Paid Notice: Deaths RAVOSA, CARMINO","RAVOSA--Carmino, one of the most popular songwriters for children and foremost musical composer on historical subjects, died on July 19th at age 85. Born in Springfield, MA, he graduated from Hartt School of Music and Columbia University; was a music teacher at Fox Meadow School in Scarsdale, NY; then Faculty Fellow and Composer-In-Residence at The Dalton School and subsequently for Edison Schools. At the invitation of President Jimmy Carter, Ravosa performed his musical ""Ghosts in the White House"" at the White House in 1978. He also performed at the inaugurations of President George H.W. Bush in 1989 and President George W. Bush in 2001. His musical ""Scarecrow"" won awards in 1975 at the International Light Opera Festival in Ireland, and his musical ""Seneca Falls"" was performed in 1976 at Carnegie Hall. He also performed at the gala reopening of the Ellis Island Immigration Museum in 2001. He was an author for Silver Burdett's music textbook series and for CBS's ""Captain Kangaroo"", ""Romper Room"" and PBS's ""Shining Time Station"". He is survived by his wife Claire; children Carine, Gina and Dean; eight grandchildren; and sister Corena. Visiting hours are July 23rd from 2-4pm and 7-9pm at Beecher Flooks Funeral Home in Pleasantville, NY. A Memorial Service will be held August 8th at 11am at Emanuel Lutheran Church in Pleasantville, NY. 1/3",
604,http://query.nytimes.com/gst/fullpage.html?res=9905E7DF173AF932A15751C0A9609D8B63,"Paid Notice: Deaths PFIZER, BERYL ANN","PFIZER--Beryl Ann. Writer and radio and television producer, died February 12, 2016, of natural causes in her beloved Manhattan brownstone. She was 87, born in 1928, in Morristown NJ. She was predeceased by her father, William R. Pfizer, Vice President of The Panama Line, and her mother, Isabel Morin Pfizer. Beryl grew up in Mt. Lakes, NJ, graduating from Mt. Lakes High School in 1945 and from Hood College in 1949, with a BA in music. She always wanted to live in the city, and moved to Manhattan after college to begin a long and varied career in the radio and television industries. She worked for the Arthur Godfrey Show on CBS-TV, wrote for NBC TV's The Home Show and worked with Dave Garroway on NBC TV's The Today Show, where she was a ""Today Girl"" feature panelist (1960-61). She received three Emmy Award nominations (1980-82), and won an Emmy in 1980, for producing ""Ask NBC News, with John Chancellor."" She wrote for NBC TV's broadcasts of The Macy's Thanksgiving Parade (1987-89), for NBC's MONITOR Radio, and for Edwin Newman; imagine the challenge of writing for the author of ""Strictly Speaking!"" She worked for NBC News at many Democratic National Conventions, including 1968 in Chicago. She produced ""The Women's Program"" series for the NBC Radio Network, which received a commendation from American Women in Radio and Television in 1979. Beryl also wrote and produced NBC-TV's ""The All- New Pink Panther Show"" (1971-74), which featured those famous cartoons and live-action segments with The Ritts Puppets and comedian Lenny Schultz reading letters and jokes from viewers. She produced medical and health stories for the NBC flagship TV station in New York City. She was the author of ""Poor Woman's Almanac"", humorous and pithy quips published in Ladies Home Journal. She received the Distinguished Alumni Award from Hood College, where she sponsored scholarships in writing and theater arts. Beryl was also an avid athlete and enjoyed playing tennis. She took up running and unexpectedly won prizes in the upper age groups of Jersey Shore 5 K's for many years, which tickled her to no end. She was proud to have completed a New York City marathon, and she loved the Midnight Run on New Year's Eve in Central Park, running her last race just last month. Beryl was generous, quietly helping many people. Terence Cardinal Cooke Healthcare Center awarded her the Mary P. Clark award for exceptional care and volunteer work for the Huntington's Disease unit of the hospital. She is survived by her sister, Joan Pfizer Sussmann, her four nieces and nephews, and five grand nieces and grand nephews. The family will hold a private memorial. In lieu of flowers, please honor Beryl by donating to your favorite charity. 1/3",
603,https://www.nytimes.com/Link.asp?I=LS000175823536,"Paid Notice: Deaths DURKIN, JERRY","<!-- JERRY DURKIN -->DURKIN--Jerry, 71, of Greentown, PA died on September 11th. He had a distinguished 34-year career at CBS Records/SONY Music Entertainment. He won a Peabody Award, an Emmy Award and several Cable ACE Awards. He is survived by his wife Geraldine as well as four children: Kathleen, Scranton, PA; Michael (Abbie), Rye, NY; Kevin (Kristina) Manhattan Beach,CA; Meghan Torrillo (Tom), Darien, CT; grandsons Riley, Jake, Graham, Tommy and Archie; brother James and sister, Margaret (Jack) Curtis. In lieu of flowers, the family requests donations to the Royal Scholarship Fund, Univ. of Scranton, PO Box 1385, Scranton, PA 18501 or the Tafton Volunteer Ambulance Corps., 235 Rte 507, PO Box 5, Tafton, PA 18464. Funeral services can be found at<br/><br/> <a rel=""nofollow"" href=""http://www.odonnellfuneral"">http://www.odonnellfuneral</a> com.<br><br>",
602,https://www.nytimes.com/Link.asp?I=LS000177790002,"Paid Notice: Deaths PFIZER, BERYL","<!-- BERYL PFIZER --><IMG SRC=""/Images/Cobrands/NYTimes/Photos/NYT-0002105075-PFIZERB_22_150192781.1_185722.jpg"" lgyOrigName=""NYT-0002105075-PFIZERB_22_150192781.1.jpg"" ALIGN=""LEFT"" vspace=""4"" hspace=""10"">PFIZER--Beryl Ann.<br/><br/> Writer and radio and television producer, died February 12, 2016, of natural causes in her beloved Manhattan brownstone. She was 87, born in 1928, in Morristown NJ. She was predeceased by her father, William R. Pfizer, Vice President of The Panama Line, and her mother, Isabel Morin Pfizer. Beryl grew up in Mt. Lakes, NJ, graduating from Mt. Lakes High School in 1945 and from Hood College in 1949, with a BA in music. She always wanted to live in the city, and moved to Manhattan after college to begin a long and varied career in the radio and television industries. She worked for the Arthur Godfrey Show on CBS-TV, wrote for NBC TV's The Home Show and worked with Dave Garroway on NBC TV's The Today Show, where she was a ""Today Girl"" feature panelist (1960-61). She received three Emmy Award nominations (1980-82), and won an Emmy in 1980, for producing ""Ask NBC News, with John Chancellor."" She wrote for NBC TV's broadcasts of The Macy's Thanksgiving Parade (1987-89), for NBC's MONITOR Radio, and for Edwin Newman; imagine the challenge of writing for the author of ""Strictly Speaking!"" She worked for NBC News at many Democratic National Conventions, including 1968 in Chicago. She produced ""The Women's Program"" series for the NBC Radio Network, which received a commendation from American Women in Radio and Television in 1979. Beryl also wrote and produced NBC-TV's ""The All- New Pink Panther Show"" (1971-74), which featured those famous cartoons and live-action segments with The Ritts Puppets and comedian Lenny Schultz reading letters and jokes from viewers. She produced medical and health stories for the NBC flagship TV station in New York City. She was the author of ""Poor Woman's Almanac"", humorous and pithy quips published in Ladies Home Journal. She received the Distinguished Alumni Award from Hood College, where she sponsored scholarships in writing and theater arts. Beryl was also an avid athlete and enjoyed playing tennis. She took up running and unexpectedly won prizes in the upper age groups of Jersey Shore 5 K's for many years, which tickled her to no end. She was proud to have completed a New York City marathon, and she loved the Midnight Run on New Year's Eve in Central Park, running her last race just last month. Beryl was generous, quietly helping many people. Terence Cardinal Cooke Healthcare Center awarded her the Mary P. Clark award for exceptional care and volunteer work for the Huntington's Disease unit of the hospital. She is survived by her sister, Joan Pfizer Sussmann, her four nieces and nephews, and five grand nieces and grand nephews. The family will hold a private memorial. In lieu of flowers, please honor Beryl by donating to your favorite charity.<br><br>",
601,http://query.nytimes.com/gst/fullpage.html?res=9A05E2DB153AF937A2575AC0A9639D8B63,"Paid Notice: Deaths DURKIN, JERRY","DURKIN--Jerry, 71, of Greentown, PA died on September 11th. He had a distinguished 34-year career at CBS Records/SONY Music Entertainment. He won a Peabody Award, an Emmy Award and several Cable ACE Awards. He is survived by his wife Geraldine as well as four children: Kathleen, Scranton, PA; Michael (Abbie), Rye, NY; Kevin (Kristina) Manhattan Beach,CA; Meghan Torrillo (Tom), Darien, CT; grandsons Riley, Jake, Graham, Tommy and Archie; brother James and sister, Margaret (Jack) Curtis. In lieu of flowers, the family requests donations to the Royal Scholarship Fund, Univ. of Scranton, PO Box 1385, Scranton, PA 18501 or the Tafton Volunteer Ambulance Corps., 235 Rte 507, PO Box 5, Tafton, PA 18464. Funeral services can be found at http://www.odonnellfuneral. com. 1/3",
350,https://www.nytimes.com/video/movies/100000003399565/to-do-list-maggie-carey-directing-her-to-do-list-featurette.html,To Do List: Maggie Carey Directing Her To Do List (Featurette),,
145,https://www.nytimes.com/video/movies/100000004334204/love-the-coopers-alex-borstein-on-being-a-method-actress.html,Love The Coopers: Alex Borstein On Being A Method Actress,,
146,https://www.nytimes.com/video/movies/100000004334200/love-the-coopers-alan-arkin-on-why-he-pefers-to-play-characters.html,Love The Coopers: Alan Arkin On Why He Pefers To Play Characters That Are Happy,,
147,https://www.nytimes.com/video/movies/100000004334368/love-the-coopers-diane-keaton-on-the-director-jessie-nelson-and.html,"Love The Coopers: Diane Keaton On The Director Jessie Nelson, And Her Role As 'charlotte'",,
148,https://www.nytimes.com/video/movies/100000004334210/love-the-coopers-ed-helms-on-the-stress-of-the-holidays.html,Love The Coopers: Ed Helms On The Stress Of The Holidays,,
