,link,headline,summary,date
14,https://www.nytimes.com/2001/11/01/business/company-news-comcast-has-loss-in-acquisitions-and-upgrade-costs.html,COMCAST HAS LOSS IN ACQUISITIONS AND UPGRADE COSTS,"The Comcast Corporation, the cable-television operator seeking to buy AT&T's broadband unit, had a third-quarter loss on acquisition and upgrade costs as sales and cash flow beat analyst estimates. The loss was $106.8 million, or 11 cents a share, compared with net income of $1.25 billion, or $1.29, a year earlier, the company said. The Philadelphia-based company offered to buy New York-based AT&T's cable unit, the nation's largest, for stock and assumed debt now valued at $51.2 billion. AT&T rejected the bid in July. Comcast's operating cash flow, or earnings before interest, taxes, depreciation and amortization, rose 17 percent to $705.8 million from $605.7 million. The company was expected by analysts surveyed by Thomson Financial/First Call, to report $680.4 million in cash flow.",2001/11/01
163,https://www.nytimes.com/2001/11/04/nyregion/jersey-it-s-not-silly-season-just-read-this.html,It's Not Silly Season? Just Read This,"IS it just me, or has the Garden State somehow crossed over into its own private Twilight Zone? Suddenly we seem to have gone from being just occasionally weird to being everyday weird. Maybe the now-fading aura of Halloween week has something to do with it, but I suspect it's more than that. I suspect that strangeness is the new status quo. I don't mean the paranoia related to current events, unsettling as they are. I'm talking about a paradigm shift in the rules of life itself -- bizarre, unexplainable meltdowns in the order of the universe. Witness, for instance, the fact that I just used the phrase ''paradigm shift'' even though I have no idea what it means!",2001/11/04
85,https://www.nytimes.com/2001/11/07/business/technology-at-t-is-sticking-to-timetable-on-cable-unit.html,AT&T Is Sticking to Timetable on Cable Unit,"C. Michael Armstrong, the chairman of AT&T, reiterated yesterday that he hoped to decide on a plan to either spin off or sell the company's cable television unit by the end of the year. AT&T Broadband is the No. 1 cable television company in the United States.",2001/11/07
137,https://www.nytimes.com/2001/11/08/business/incredibly-shrinking-at-t-and-the-armstrong-agenda.html,Incredibly Shrinking AT&T And the Armstrong Agenda,"C. Michael Armstrong, the chairman of AT&T, has sympathizers in high places these days. The way Mr. Armstrong tells it, he was stepping down from a panel discussion in Manhattan on Monday when another panelist put an arm around him and drew him aside.",2001/11/08
171,https://www.nytimes.com/2001/11/16/sports/sports-business-johnson-and-longley-hurting-bottom-line.html,Johnson and Longley Hurting Bottom Line,"Larry Johnson and Luc Longley are gone from the Knicks' roster, but clearly not forgotten by their former employers at Cablevision. There will be no corporate tributes to Johnson, who retired, and Longley, who was waived. There will be no statues erected in their honor outside Madison Square Garden, a division of Cablevision.",2001/11/16
71,https://www.nytimes.com/2001/11/16/business/aol-at-t-cable-talks-said-to-be-advancing.html,AOL-AT&T Cable Talks Said to Be Advancing,"AOL Time Warner's tentative discussions about acquiring the cable television business of AT&T have edged forward, with AOL Time Warner signing a confidentiality agreement that could allow the talks to move to a new stage, people close to the negotiations said. Executives from AOL Time Warner began speaking with their AT&T counterparts about a cable deal over the summer. But after the Sept. 11 attacks, the talks were relegated to a back burner.",2001/11/16
120,https://www.nytimes.com/2001/11/30/business/technology-creditors-move-puts-excite-home-s-service-at-risk.html,Creditors' Move Puts Excite@Home's Service at Risk,"A judge will be asked on Friday to rule that Excite@Home can cut off Internet access to its 3.7 million subscribers, who are caught in a battle over the bankrupt company's assets and future. The request is being made by creditors of Excite@Home, who are owed hundreds of millions of dollars. They hope that the threat of a shutdown will extract more money from the other parties in the dispute.",2001/11/30
91,https://www.nytimes.com/2001/12/01/business/excite-home-wins-ruling-about-cable.html,Excite@Home Wins Ruling About Cable,"A federal judge ruled today that Excite@Home, the bankrupt provider of high-speed Internet access, could sever its contracts with the cable companies that offer its service, meaning that about 3.7 million subscribers in North America could lose Internet access as early as this weekend. After the ruling, however, Excite, its creditors and the cable companies said they were in negotiations to prevent an imminent service interruption, and people close to the talks said they thought a settlement could be reached.",2001/12/01
92,https://www.nytimes.com/2001/12/02/us/internet-provider-cuts-off-850000-at-t-customers.html,"Internet Provider Cuts Off 850,000 AT&T Customers","Excite@Home, the bankrupt provider of high-speed Internet access, cut off Internet service to 850,000 AT&T customers yesterday after AT&T refused to meet its demands -- said to be for more than $100 million -- to continue the service. As of Friday night, AT&T, which is hastily building its own network, balked at making this payment, according to an executive familiar with the talks. Excite@Home cut off AT&T's Internet customers shortly after midnight.",2001/12/02
185,https://www.nytimes.com/2001/12/02/nyregion/on-the-towns-going-out.html,GOING OUT,"An guide to cultural and recreational goings-on around the state this week. Items may be submitted by mail to On the Towns, Sunday New Jersey Section, The New York Times, 229 West 43d Street, New York, N.Y. 10036; by fax to (212) 556-7219, or by e-mail to njtowns@nytimes.com. Music BLAIR ACADEMY Tom Chapin Today at 4 p.m. Tickets: $15; $12 for those 62-plus; $10 for students. DuBois Theater, Blairtown. (908) 362-6121, extension 5612.",2001/12/02
