,link,headline,summary,date
271,https://www.nytimes.com/video/business/dealbook/100000003647202/why-comcast-walked-away.html,Why Comcast Walked Away,"“We gotta move on,” says Brian L. Roberts, Comcast’s chief executive, on abandoning the cable giant’s $45 billion bid for Time Warner Cable.",
153,https://www.nytimes.com/video/business/100000004190862/nyts-stewart-on-redstone-king-lear-in-the-boardroom.html,Talking of Comcast and Viacom,"James B. Stewart, appearing on CNBC, described the situation in Viacom as ""King Lear in the board room"" and also discussed strong earnings at Comcast.",
477,https://www.nytimes.com/video/business/dealbook/100000003647466/people-hate-the-cable-companies.html,‘People Hate the Cable Companies’,James B. Stewart of The New York Times discusses Comcast’s abandoned bid for Time Warner Cable and negative yields in Europe.,
462,https://www.nytimes.com/video/multimedia/100000003704842/charter-buying-larger-rival-time-warner-cable.html,Charter buying larger rival Time Warner Cable,"Charter Communications deal to buy Time Warner Cable will face scrutiny from regulators, but, if completed, will create a strong number two rival to Comcast. Bobbi Rebell reports.",
262,https://www.nytimes.com/video/multimedia/100000003645119/setback-for-comcasts-merger-deal.html,Setback for Comcast's merger deal,"Comcast's $45 billion merger deal with Time Warner Cable will reportedly be sent to an administrative judge, and that could put Time Warner Cable into play. Fred Katayama reports.",
160,https://www.nytimes.com/interactive/2018/business/dealbook/tax-savings-benefits.html,What Companies Are Doing With Their Savings From the Tax Law,"The tax overhaul has prompted hundreds of employers, including at least 40 members of the Standard & Poor’s 500-stock index, to pass on savings to workers.",
674,https://www.nytimes.com/2014/09/02/fanduel-an-online-fantasy-sports-site-raises-70-million/,"FanDuel, an Online Fantasy Sports Site, Raises $70 Million","FanDuel has obtained financing from investors led by Shamrock Capital Advisors, NBC Sports Ventures and Kohlberg Kravis Roberts.",2014/09/02
641,https://www.nytimes.com/2014/09/09/business/media/att-u-verse-to-carry-rural-media-groups-rfd-tv.html,AT&T U-verse to Carry Rural Media Group’s RFD-TV,The rural-focused television network landed coverage on AT&T’s service after a monthslong campaign against a pair of proposed media mergers.,2014/09/09
610,https://bits.blogs.nytimes.com/2014/09/10/netflix-and-other-big-websites-protest-proposed-net-neutrality-rules/,Netflix and Other Big Websites Protest Proposed Net Neutrality Rules,"The sites used a pinwheel icon, which means something is loading slowly, to show users what it would be like if Internet traffic was slowed.",2014/09/10
722,https://www.nytimes.com/2014/09/11/business/media/a-video-series-turns-a-spotlight-on-local-artists.html,A Video Series Turns a Spotlight on Local Artists,"Each episode opens with text that indicates that it is presented by Windstream, but contrary to what is often the case with branded content, the company is never mentioned or even obliquely evoked otherwise.",2014/09/11
729,https://www.nytimes.com/2014/09/12/morning-agenda-banks-bow-to-apple-pay/,Morning Agenda: Banks Bow to Apple Pay,Banks eager to work with Apple on new mobile payment system. | Signs rattle subprime lending industry. | Bankers fear Britain’s exit from E.U. | Hertz and Icahn make peace.,2014/09/12
715,https://www.nytimes.com/2014/09/15/business/media/q-and-a-with-stuart-elliott.html,Q. and A. With Stuart Elliott,Readers are unhappy with the back-to-back commercial practice.,2014/09/15
676,https://boss.blogs.nytimes.com/2014/09/16/today-in-small-business-the-case-against-tipping/,Today in Small Business: The Case Against Tipping,Tech upgrades for small businesses. How to use Instagram to promote products. Should we ban states and cities from offering tax breaks for jobs?,2014/09/16
726,https://www.nytimes.com/2014/09/25/morning-agenda-devices-fuel-subprime-auto-boom/,Morning Agenda: Devices Fuel Subprime Auto Boom,Subprime auto lenders are using technology to digitally repossess cars. | Trading opportunities beckon in China. | Harvard names endowment chief. | Wednesday was a big day for I.P.O.s,2014/09/25
349,https://www.nytimes.com/2014/09/25/business/media/comcast-accuses-rivals-of-extortion-in-opposing-its-bid-for-time-warner-cable.html,Comcast Lashes Out at Rivals Opposed to Merger Plan,"In a filing with regulators, the company said opponents of the deal with Time Warner Cable first sought “various self-interested requests,” which were denied.",2014/09/25
357,https://www.nytimes.com/2014/09/29/business/media/growling-by-comcast-may-bring-tighter-leash.html,Growling by Comcast May Bring Tighter Leash,"Regardless of the company’s motive, the issues it raised are hugely important and won’t be brushed aside by bombast or counterattack.",2014/09/29
712,https://wordplay.blogs.nytimes.com/2014/10/01/20th-century-figure/,20th-Century Figure,David Woolf challenges the laws of physics.,2014/10/01
623,https://www.nytimes.com/2014/10/02/us/retired-veteran-of-presidents-detail-will-temporarily-lead-secret-service.html,Interim Secret Service Chief Was in President’s Detail,"Joseph Clancy, 58, who retired from the Secret Service in 2011 as special agent in charge of the Presidential Protective Division, will replace Julia Pierson, who resigned.",2014/10/02
677,https://boss.blogs.nytimes.com/2014/10/08/today-in-small-business-the-bacon-boom/,Today in Small Business: The Bacon Boom,The “most bountiful” holiday season in three years? The most innovative cities in America. Did Comcast retaliate against an unhappy customer by getting him fired?,2014/10/08
640,https://www.nytimes.com/2014/10/09/us/latest-news-ebola-st-louis-new-york-comic-con.html,Your Thursday Briefing,Here’s what you need to know to start your day.,2014/10/09
717,https://www.nytimes.com/2014/10/10/blackstone-to-spin-off-its-advisory-business/,"Shunning Wall Street Norms, Blackstone to Spin Off Its Advisory Group","The business will merge with a fledgling firm founded by Paul J. Taubman, the former Morgan Stanley investment banker, who will run the combined firm as chief executive and chairman.",2014/10/10
653,https://www.nytimes.com/2014/10/10/blackstones-move-could-set-off-a-trend/,Blackstone’s Move Could Set Off a Trend,"The deal may give other merger practitioners ideas. The rise in global mergers may spawn a super-boutique or entice a big bank to buy an independent firm, Jeffrey Goldfarb of Reuters Breakingviews writes.",2014/10/10
689,https://www.nytimes.com/2014/10/11/business/media/21st-century-fox-combines-with-apollo-to-form-tv-production-group.html,21st Century Fox Forms TV Production Joint Venture With Apollo,"The deal, valued at more than $2 billion, unites the makers of “Big Brother,” “American Idol” and “MasterChef,” among other shows.",2014/10/11
