,link,headline,summary,date
536,http://query.nytimes.com/gst/fullpage.html?res=9806E1D6143FF932A05754C0A9679D8B63,News Of The World,"Whether the scandal afflicting News Corp. represents the beginning of the fall of the House of Murdoch or just another thrilling episode in the career of the Teflon tycoon, I can't say. There is plenty enough spectacle without speculation. Nor is this the place to celebrate a rival's troubles. True, I did pull from my files and savor the indignant letters we received from News of the World's top editors last year as we prepared to publish an investigation of the paper's phone-hacking culture and Scotland Yard's timidity -- work that has been fully vindicated in recent weeks. But even if it is true, as online wags put it, that Murdoch's troubles threaten to deplete the world supply of schadenfreude, I don't plan to join the party.",
101,http://query.nytimes.com/gst/fullpage.html?res=9B04EFDF123DF93AA35751C0A9649D8B63,"News Corp. Profited in Quarter, Despite Hacking Scandal","Cable television dramas and movies helped raise News Corporation's revenues by 2 percent in the second quarter, offsetting the growing costs related to a phone hacking scandal at the company's British newspaper unit. The company on Wednesday beat Wall Street's expectations, reporting $1.06 billion in net income, or 42 cents a share, in the three months that ended Dec. 31, compared with $642 million, or 24 cents a share, in the same period a year ago. Revenue grew slightly, to $8.98 billion, up from $8.76 billion in 2010.",
380,http://query.nytimes.com/gst/fullpage.html?res=940DE2DE133EF931A15755C0A9679D8B63,Hulu Ponders Sale on Heels Of Buy Offer,"Hulu, the online video service, is weighing a possible sale of the company after it received a takeover offer from an unidentified suitor, people briefed on the matter said Tuesday. The unsolicited offer has prompted Hulu's board to consider its options, and the company is speaking to potential advisers, these people said. It may contact potential buyers, including other media companies and private equity firms that have wanted the chance to buy the service.",
981,http://query.nytimes.com/gst/fullpage.html?res=9902E6DA163DF934A15751C0A9639C8B63,L.I. @ WORK,"Cablevision and News Corp. Restructure a Partnership Regional Programming Partners, formed by the Cablevision Systems Corporation and the News Corporation, will be restructured, Cablevision said on Tuesday. Under the current structure, Cablevision owns 60 percent and the News Corporation owns 40 percent of the company, whose assets include Madison Square Garden, the Fox Sports Net, and six regional sports networks.",
373,http://query.nytimes.com/gst/fullpage.html?res=9500E1D61E3CF93AA15750C0A9649D8B63,Inside the Times,International MILITIAS IN THE CONGO,
361,http://query.nytimes.com/gst/fullpage.html?res=9B00E4D91739F934A15752C1A9679D8B63,The Murdochs Hug It Out,INT. PSYCHOLOGIST'S OFFICE -- DAY A framed degree tells us that DR. LEO HART holds a Ph.D. in psychology from Columbia University.,
107,https://www.nytimes.com/video/business/100000001518685/just-a-minute-chozick-on-opportunity-co.html,Just a Minute: Amy Chozick on News Corp,The scrutiny and scandal in Britain around News Corporation has affected its ability to expand and acquire. Amy Chozick discusses her article on the subject.,
341,http://query.nytimes.com/gst/fullpage.html?res=9A0DE6DD1E31F935A25753C1A9669D8B63,FUND-RAISING: Murdoch Defends Donations,"The News Corporation chairman Rupert Murdoch said this morning that his company's $1 million donations to the United States Chamber of Commerce and the Republican Governors Association ''were unusual'' but that ''they were in the interests of our shareholders and the country.'' The comments came during the News Corp.'s annual meeting of shareholders, in response to pointed questions from representatives of labor groups and a liberal foundation that have company shares.",
340,https://www.nytimes.com/video/business/100000000943628/murdochs-political-triage.html,Murdoch's Political Triage,Dealbook's Andrew Ross Sorkin and media editor Bruce Headlam discuss News Corporation's announcement it is withdrawing a $12 billion bid for Britain's main satellite television broadcaster.,
334,https://www.nytimes.com/video/business/media/100000000952629/media-decoder.html,Media Decoder: The Murdochs to Testify,"David Carr and Brian Stelter discuss the latest developments in the phone-hacking scandal and look ahead to Tuesday's testimony from Rupert Murdoch, James Murdoch and Rebekah Brooks.",
332,http://query.nytimes.com/gst/fullpage.html?res=9E07E0DE173CF93AA25754C0A9679D8B63,Amorality on Display in London Extends to the Stage as Well,"LONDON -- And so the sorry story continues, as people from the corridors of power confess their crimes and await their judgments. The glamorous favorite of the tyrant has fallen from her high perch, and it is rumored that further depths of corruption are waiting to be plumbed. Reputations everywhere are in tatters. Such was the view on Saturday night - no, not of the television screen from my couch - but from a seat at the Donmar Warehouse toward the end of its production of ''Luise Miller.'' I had been reluctant to tear myself away from the ever-evolving news of the phone-hacking scandal, which could be relied upon to produce a fresh resignation or arrest at regular intervals. But leave it to Friedrich Schiller, the 18th-century German chronicler of the evil that politicians do, to provide a soap opera that's nearly as juicy as that surrounding Rupert Murdoch's News International organization (and Parliament and Scotland Yard).",
329,http://query.nytimes.com/gst/fullpage.html?res=9806E7DC133CF933A15754C0A9679D8B63,"Murdoch, 'Surprised and Shocked,' Is Likely to Face More Questions","LONDON -- Rupert and James Murdoch said repeatedly during their extended testimony before a parliamentary committee in Britain that their involvement in managing the News Corporation's response to the phone hacking scandal was limited. Rupert Murdoch said he felt let down by ''the people that I trusted and then, maybe the people they trusted.'' Even so, the Murdochs' defense of their roles highlighted several issues that continuing investigations by parliamentary committees and the police are likely to examine in greater detail. Among them:",
328,https://www.nytimes.com/video/opinion/100000000957239/bloggingheads-is-murdochism-bad.html,Bloggingheads: Is Murdochism Bad?,"Felix Salmon, left, of Reuters and Alex Massie of the Spectator debate Rupert Murdoch's influence on American society.",
327,https://www.nytimes.com/video/multimedia/100000000955295/media-decoder.html,Media Decoder: Murdoch's Testimony,"Jeremy W. Peters and David Carr provide analysis of the testimony offered by Rupert Murdoch, James Murdoch and Rebekah Brooks before a British parliamentary committee.",
326,http://query.nytimes.com/gst/fullpage.html?res=9F03E4DD153CF93AA25754C0A9679D8B63,Murdoch's Board Stays On Sidelines,The board of the News Corporation might as well be named ''Friends of Rupert.'' The independent directors - who have a fiduciary responsibility to the company's shareholders - have remained silent amid the widening scandal at Rupert Murdoch's media empire.,
325,http://query.nytimes.com/gst/fullpage.html?res=9C0CE1D8163FF930A15754C0A9679D8B63,News Corporation Sells a Billboard Unit in Russia,"MOSCOW -- The News Corporation, Rupert Murdoch's media conglomerate embroiled in scandal, sold its billboard company in Russia to a consortium of investors led by a Kremlin-controlled bank, the bank announced on Friday. The sale of News Outdoor Russia had been under negotiation for at least months. The timing was apparently unrelated to the turmoil around the News Corporation in Britain, where Parliament is investigating a tabloid newspaper's practice of hacking into cell phones to obtain information.",
404,http://query.nytimes.com/gst/fullpage.html?res=9503E5DF153DF930A25756C0A9649D8B63,Capitalists And Other Psychopaths,"THERE is an ongoing debate in this country about the rich: who they are, what their social role may be, whether they are good or bad. Well, consider the following. A recent study found that 10 percent of people who work on Wall Street are ''clinical psychopaths,'' exhibiting a lack of interest in and empathy for others and an ''unparalleled capacity for lying, fabrication, and manipulation.'' (The proportion at large is 1 percent.) Another study concluded that the rich are more likely to lie, cheat and break the law. The only thing that puzzles me about these claims is that anyone would find them surprising. Wall Street is capitalism in its purest form, and capitalism is predicated on bad behavior. This should hardly be news. The English writer Bernard Mandeville asserted nearly as much three centuries ago in a satirical-poem-cum-philosophical-treatise called ''The Fable of the Bees.''",
323,https://www.nytimes.com/video/world/europe/100000000953922/disturbance-during-murdoch-testimony.html,Deng Defends Murdoch at Hearing,A man disrupted the parliamentary committee hearings during the testimony of Rupert and James Murdoch.,
434,http://query.nytimes.com/gst/fullpage.html?res=9E04E3D6173EF93BA15756C0A9649D8B63,Choice of New Italian Media Regulator a Test of Berlusconi's Strength,"PARIS -- When Italians said ''Basta!'' to Silvio Berlusconi, it turned out that they were ready for more than just a political change. Since Mr. Berlusconi stepped down from his post as prime minister last year, returning to life as a media mogul, the digital era finally seems to have dawned in Italy. Mr. Berlusconi's television company, Mediaset, an analog-era powerhouse that continued to dominate the Italian media scene well into his 17-year sojourn in or near the prime minister's villa, has suffered greatly since he left for the third and presumably final time. Advertising has fallen, earnings have plunged and more Italians are tuning in to alternatives like Sky Italia, the satellite television broadcaster owned by Rupert Murdoch's News Corp.",
