,link,headline,summary,date
305,http://query.nytimes.com/gst/fullpage.html?res=9F00EEDF1730F936A25751C1A9629C8B63,"For Sprint and Nextel, a Battle With Titans","When Sprint and Nextel Communications formally announce their merger -- which could come as early as today -- they will have completed the easy part. The harder part, industry executives and analysts say, will be competing against their much larger rivals, Cingular Wireless and Verizon Wireless, both of which are owned by regional Bell telephone companies that have more money and more services to sell to consumers who like one-stop shopping.",
144,http://query.nytimes.com/gst/fullpage.html?res=9C07EFD7153FF935A25752C1A9629C8B63,Technology Briefing | Telecommunications: AT&T Wireless Outlets Converted,"Starting today, all AT&T Wireless retail outlets will be converted into Cingular Wireless stores. The move comes three weeks after Cingular, a joint venture of SBC Communications and BellSouth, completed its $41 billion purchase of AT&T Wireless to become the largest cellphone carrier in the United States. The 1,055 company-owned stores formerly run by AT&T Wireless will now have Cingular phones and accessories and Cingular signs. An additional 10,500 stores operated by agents representing AT&T Wireless will be converted during the next month. Cingular, which now has 46 million subscribers, has already introduced new advertising plans that integrate AT&T Wireless into the Cingular brand. Ken Belson (NYT)",
143,http://query.nytimes.com/gst/fullpage.html?res=9402E3D6123EF934A15752C1A9629C8B63,CINGULAR TO SELL SOME ASSETS TO ALLTEL,"Cingular Wireless, the nation's largest mobile-telephone operator, said yesterday that it would sell some airwave rights and customers to the Alltel Corporation for $170 million to satisfy government conditions on its purchase of AT&T Wireless Services. Cingular, a joint venture of BellSouth and SBC Communications, said it would sell AT&T Wireless operations in parts of five states, including Texas, and radio spectrum in three states. The sales would ''meet a substantial portion'' of the conditions set by the Justice Department and the Federal Communications Commission for approval its $41 billion purchase of AT&T Wireless, the company said. Cingular, which is based in Atlanta, still must sell some airwave rights in Dallas, Detroit and Knoxville, Tenn., and assets in four smaller markets, a spokesman said.",
136,http://query.nytimes.com/gst/fullpage.html?res=9D00E2DB1231F937A15757C0A9639C8B63,MCI Backs Qwest Over Verizon,"MCI, the long-distance phone company at the heart of a pitched takeover battle, raised the ante yesterday by declaring a sweetened bid from Qwest Communications to be superior to an offer it had already accepted from Verizon. In so doing, MCI's board, for the first time during the two-month bidding war, sided with Qwest. The decision gives Qwest a chance to wrest control of the company from Verizon, but that outcome is by no means certain because Verizon still has the legal and financial upper hand. Earlier this month, MCI's board accepted a takeover offer from Verizon worth $23.10 a share, or 30 percent less than Qwest's new bid.",
133,http://query.nytimes.com/gst/fullpage.html?res=9F06E4DC173EF930A15752C1A9629C8B63,Technology Briefing | Telecommunications: 3 Phone Concerns Win Navy Contracts,"Verizon Wireless, Cingular Wireless and Nextel Communications were each awarded $20 million contracts yesterday to outfit United States Navy personnel stationed domestically with cellphones, voice minutes and wireless data plans for the next 12 months. Organizations at the federal, state and local government level now account for about 2.1 million of Nextel's 14 million overall subscribers, in part because of Nextel's walkie-talkie-style services known as push-to-talk, the company said. Verizon Wireless is a joint venture of Verizon Communications and Vodafone. Cingular is a joint venture of SBC Communications and BellSouth.",
128,http://query.nytimes.com/gst/fullpage.html?res=9B04E4DE113EF933A05752C1A9629C8B63,People,"Troy Ruhanen was named to lead the Cingular Wireless account, in the new post of executive vice president and managing director, at the BBDO North America unit of BBDO Worldwide, part of the Omnicom Group. He had been executive vice president and managing director at the Sydney, Australia, office of Leo Burnett Worldwide, part of the Publicis Groupe. Cingular is owned by BellSouth and SBC Communications.",
35,http://query.nytimes.com/gst/fullpage.html?res=9400EEDA123FF933A15753C1A9639C8B63,Corrections,"A front-page article on Tuesday about an agreement between General Motors and the United Automobile Workers to curtail health benefits for employees and retirees misstated the scope of planned revisions at another big employer, SBC Communications. (The error also occurred in an article in Business Day the same day about the effect on G.M. retirees.) The changes affect active or retired salaried employees not covered by union contracts -- not those covered by contracts.",
36,http://query.nytimes.com/gst/fullpage.html?res=9C01EEDA123FF933A15753C1A9639C8B63,Corrections,"A front-page article on Tuesday about an agreement between General Motors and the United Automobile Workers to curtail health benefits for employees and retirees misstated the scope of planned revisions at another big employer, SBC Communications. (The error also occurred in an article in Business Day the same day about the effect on G.M. retirees.) The changes affect active or retired salaried employees not covered by union contracts -- not those covered by contracts.",
125,http://query.nytimes.com/gst/fullpage.html?res=9C0CE2D91E3DF934A35750C0A9639C8B63,Cingular Awards Media Services Account,"Concluding a review that began after Cingular Wireless acquired and absorbed AT&T Wireless last fall, Cingular is awarding about two-thirds of its media services account to the agency that handled those duties for AT&T Wireless and the rest to the media agency that has worked for Cingular. Cingular spends about $1 billion a year on advertising in major media.",
123,http://query.nytimes.com/gst/fullpage.html?res=9F0DE5DE133BF931A35751C0A9639C8B63,BUSINESS DIGEST,"Chief of SBC Has Turned A Baby Bell Into a Colossus In a string of deals, Edward E. Whitacre, the chief executive of SBC Communications, has amassed the country's most complete telecommunications company. Now he intends to add AT&T for $16 billion. Mr. Whitacre riles critics who argue that he overpays and moves too quickly, but aggressiveness and decisiveness have marked his 40-year career. [Page C2.] Hints of Oil Mergers to Come After a lull since the wave of mergers in the late 1990's, the time for large-scale takeovers in the oil industry may be here again. One potential candidate is Unocal, which has substantial reserves, a strong portfolio of assets and a reputation for underperformance that has discouraged investors recently. [C2.] Low Expectations for Auto Industry Detroit continues to lose American customers to Asian competitors. Ford lost the most last month, with sales falling 4.9 percent. [C8.] Secretary Wants Medicaid Changes Michael O. Leavitt, the secretary of health and human services, called for sweeping changes in Medicaid that would cut payments for prescription drugs. [A12.] Testimony on HealthSouth Numbers A former financial officer for HealthSouth testified that he made up numbers to increase profits under the direct orders of Richard M. Scrushy, the former chief executive. [C5.] Bankers for Bernard J. Ebbers once threatened to sell his stock in WorldCom unless it backed his loans, a banker testified. [C5.] L. Dennis Kozlowski did not violate Tyco policy when he paid a $20 million fee to a board member, a former director said. [C5.] Sharpton Urges a KFC Boycott The Rev. Al Sharpton is joining forces with People for the Ethical Treatment of Animals to urge a boycott of KFC because of its suppliers' treatment of chickens. [C8.] Lego Plays Rough in the Courts Competitors to Lego, the maker of plastic building blocks, say the company is unfairly trying to use intellectual property law to dominate its market. Lego's last significant patent expired decades ago, so the Danish company zealously guards its trademarks and other intellectual property rights. [C4.] Declining Oil Prices Help Stocks Stocks rose, helped by strong earnings and lower oil prices. The Dow Jones industrial average closed up 62 points, at 10,551.94. The Nasdaq composite index rose 6.29 points, to 2,068.70. [C10.] China Loan Helped With Yukos Deal China lent Russia $6 billion late last year to enable a government-owned company to buy a unit of Yukos, Kremlin officials said. [C4.] Promise of a Shuttle Seat Is Gone Delta Air Lines is now flying just one shuttle an hour from La Guardia Airport to Boston and Washington and vice versa, no matter how many people show up. [A1.] The S.U.V. as a Hairy Beast A new public service campaign is intended to inform young men about the rollover risks of sport utility vehicles. Advertising. [C10.]",
