,link,headline,summary,date
99,https://www.nytimes.com/1993/03/22/business/dividend-meetings-146593.html,Dividend Meetings,Following is a partial list of dividend meetings this week: MONDAY Ameron Inc BellSouth Corp Standard Prods Co TUESDAY Bell Atlantic Corp Centerior Energy Corp Great Atl & Pac Tea WEDNESDAY Brooklyn Union Gas Clarco Inc Commercial Intertech Federal Mogul Corp THURSDAY Boston Edison Co Grow Group Inc Charles Schwab Corp Transatlantic Hldgs Inc Wyle Labs FRIDAY Cen Hudson Gas & Elec Knight-Ridder Inc Southwestern Bell Corp,1993/03/22
10,https://www.nytimes.com/1993/03/27/business/company-news-southwestern-bell-splits-stock-and-lifts-payout.html,SOUTHWESTERN BELL SPLITS STOCK AND LIFTS PAYOUT,The Southwestern Bell Corporation announced yesterday a 2-for-1 stock split and an increase in its quarterly dividend. The company said the stock split was payable on May 25 to shareholders of record May 7.,1993/03/27
57,https://www.nytimes.com/1993/03/31/business/company-news-new-wireless-phone-system-introduced.html,New Wireless Phone System Introduced,"It costs a lot more than your average telephone as much as $2,500 to install -- but Southwestern Bell and Panasonic introduced a new wireless telephone system today that works like a cordless phone in an office building and a cellular phone out on the street. Called Freedom Link, the new system marks the first commercial product that comes close to letting a person use the same pocket-sized telephone regardless of location.",1993/03/31
120,https://www.nytimes.com/1993/03/31/business/business-digest-656393.html,BUSINESS DIGEST,"The Economy Consumers' spirits -- and spending -- dampened in March, weighed down by the prospect of higher taxes. The Conference Board's confidence index fell a sharp six points. [ Page D1. ] The state B.C.C.I. trial began, with one of the defendants, Clark M. Clifford, being prosecuted in absentia. [ A1. ]",1993/03/31
116,https://www.nytimes.com/1993/04/02/business/finance-briefs-274793.html,FINANCE BRIEFS,"Debt * Ford Motor Credit Co., Dearborn, Mich., is offering $500 million of 6 3/8 percent notes due in 2000 at 99.741 to yield 6.421 percent through Goldman, Sachs & Co. The noncallable notes are rated A-2 by Moody's, A by S.& P. and A+ by Duff & Phelps. * Hertz Corp. is offering $100 million of 6 1/2 percent notes due in 2000 at 99.559 to yield 6.58 percent through J. P. Morgan. The noncallable notes are rated Baa-1 by Moody's, BBB+ by S.& P. and A- by Duff & Phelps.",1993/04/02
70,https://www.nytimes.com/1993/05/06/business/british-cable-venture-set.html,British Cable Venture Set,"The Southwestern Bell Corporation and Cox Cable Communications have completed an agreement to establish a partnership for cable television and telephone businesses in Britain. Under the agreement, Cox Cable will have a 25 percent stake in the cable television and telephone operations owned by Southwestern Bell International Holdings Ltd. Cox will also have the option to increase its stake.",1993/05/06
127,https://www.nytimes.com/1993/05/10/business/media-business-advertising-chrysler-major-consolidation-picks-bbdo-north-america.html,"Chrysler, in a major consolidation, picks BBDO North America to handle media services.","THE CHRYSLER CORPORATION, in one of the largest consolidations ever of the media functions on an advertising account, has selected BBDO North America to coordinate media services for all its national brand and corporate campaigns. Chrysler ended its lengthy, closely watched review on Friday when it awarded BBDO North America the responsibilities for planning, buying and placing an estimated $320 million to $400 million worth of advertising time and space annually. The agency, which is based in Southfield, Mich., and handles the account for Chrysler's Dodge cars and trucks, said it would form a stand-alone shop to handle only those media functions. Chrysler said the new shop would be named something like Pentastar Communications, after the five-sided star the company uses as its corporate logo.",1993/05/10
153,https://www.nytimes.com/1993/05/16/magazine/the-telephone-transformed-into-almost-everything.html,The Telephone Transformed -- Into Almost Everything,"WHEN THE TELEPHONE RINGS IN ARNO Penzias's office at A.T.&T. Bell Laboratories, nothing is simple: first comes an electronic beep from one of the button-studded, silicon-filled instruments on his desk; then the cordless handset on the conference table trills along behind. Penzias, the Nobel laureate who directs research at this most famous of American corporate laboratories, grouses: why didn't the caller use electronic mail instead? Voice can be so retrograde, so intrusive. Penzias gets up and switches phones to demonstrate one of his latest toys, something the Bell Labs engineers call ""Bump in a Cord."" It is an eavesdropper-foiling encryption device the size of a paperback book, and it works so well, he says, that the Government will not allow it carried out of the country (""Princess Di would love one""). But you do need another Bump at the other end -- for a proper demonstration, Penzias must look up a colleague's phone number. So now, for just a moment, we put the Information Age on hold while he opens a drawer and rummages through a sheaf of what looks suspiciously like paper. Paper?!",1993/05/16
138,https://www.nytimes.com/1993/05/17/business/the-media-business-us-west-to-work-with-time-warner.html,US WEST TO WORK WITH TIME WARNER,"In a sweeping collaboration between a telephone company and a cable and media conglomerate, U S West and Time Warner agreed yesterday to merge their skills in building cable services that would offer consumers a panoply of entertainment and information services on demand. Several executives close to the talks said U S West, one of the seven Bell regional holding companies, agreed to invest $2.5 billion for 25.5 percent of Time Warner Entertainment, a limited partnership controlled by Time Warner. It operates the company's cable systems, Warner Brothers and the cable television channel Home Box Office.",1993/05/17
117,https://www.nytimes.com/1993/05/18/business/media-business-building-future-for-cable-tv-via-telephone-britain-offers.html,THE MEDIA BUSINESS: Building a Future for Cable TV Via the Telephone; Britain Offers Encouraging Experience,"In towns across England, U S West and other American telephone companies have been getting a sneak preview for the past several years of their industry's rapid convergence with the entertainment business -- and they very much like what they see. Just how much was clear in U S West's decision, confirmed by the companies in New York today, to invest in Time Warner's cable and film operations. The deal brings together for the first time on a large scale in the United States two industries that have been feeling each other out in what amounts to a huge test market here in Britain. A Less-Regulated Environment ""The decision to do the Time Warner deal had as a fundamental basis an understanding of these converging businesses,"" said Dick Callahan, the president of U S West International, which offers both phone and cable television service in Britain. ""It would have been very difficult to make the kind of deal we made -- and certainly the size of deal we made -- without the base of history and experience we have gained in the U.K.""",1993/05/18
98,https://www.nytimes.com/1993/05/23/style/weddings-jennifer-griffith-and-brian-black.html,Jennifer Griffith And Brian Black,"Jennifer Ann Griffith, an associate at the Houston law firm of Brown, Campbell, Harrison & Wright, was married yesterday to Brian Dean Black, a senior environmental scientist with the gas and pipeline division of Tenneco Inc. in Houston, the diversified energy and manufacturing company. The Rev. George Willis performed the ceremony at St. George's-by-the-River Episcopal Church in Rumson, N.J. Mrs. Black, 30, graduated from Tufts University and received a law degree from New York Law School. She is a daughter Charles E. Griffith of Rumson and the late Susan W. Griffith. Her father is a regional vice president at the Summit Bank in Chatham, N.J. Her maternal grandfather, Roger C. Wilkins of Delray Beach, Fla., is a retired chairman of the Travelers Corporation, the insurance company. Her stepmother, Nancy J. Griffith, teaches the first grade at the Lloyd Road School in Aberdeen, N.J.",1993/05/23
103,https://www.nytimes.com/1993/05/27/business/dow-up-23.53-points-sets-another-record.html,"Dow, Up 23.53 Points, Sets Another Record","A dip in interest rates helped the stock market surge yesterday, establishing a record high for the Dow Jones industrial average in heavy trading. Analysts said stocks became a more attractive investment as prices for long-term Treasury bonds rose and their yields fell below 7 percent.",1993/05/27
33,https://www.nytimes.com/1993/05/28/nyregion/c-corrections-204193.html,Corrections,"A table in Business Day yesterday headed ""The Favorite Stocks,"" listing the 15 issues with the most shareholders, misstated the 1993 percentage change for Southwestern Bell. On Wednesday, Southwestern Bell's shares were up 2.7 percent so far this year.",1993/05/28
125,https://www.nytimes.com/1993/05/29/sports/results-plus-173393.html,RESULTS PLUS,"COLLEGE BASEBALL St. John's Stays Alive in N.C.A.A. Brett Bartkewicz paced a 21-hit attack with five singles and Jason Loscalzo had four hits including a home run as St. John's beat George Mason, 16-9, yesterday in a loser-out game of the National Collegiate Athletic Association West Regional in Tempe, Ariz. St. John's (26-19), which also got three doubles and a single from Anthony D'Esposito, made five errors in the first two innings and fell behind by 3-0 before staying alive in the double-elimination regional, getting five unearned runs against George Mason (33-15) in the fifth. Redmen starter C. J. Nitkowski (6-3) struck out 10 and allowed two earned runs over seven and two-thirds innings. (AP) Fordham Loses in Midwest: Top-seeded North Carolina State took advantage of Fordham's porous defense in the first three innings and went on to a 12-4 victory in the first round of the Midwest Regional in Stillwater, Okla. The Wolfpack (48-15) scored five unearned runs in the first inning after Fordham starter Ramon Hernandez was within one pitch of getting out of the inning. Four more unearned runs in the third put the game out of reach. Fordham (31-26) next plays the loser of last night's game between Oklahoma State and Connecticut. (AP) Rutgers Loses One: In Knoxville, Tenn., Clemson won, 7-3, to hand Rutgers its first loss in the Mideast Regional. Rutgers (37-16), the Atlantic 10 Conference champion, will play the loser of the game between N.C.-Charlotte and Tennessee. (AP) Yale Is Out: In College Station, Tex., North Carolina eliminated Yale, 11-6, in the Central I Regional. Yale, winner of the Ivy League, ends the season at 33-11. (AP) GOLF Clearwater Shoots a 61, and He's in Third Fulton Allem weathered a record-setting performance by Keith Clearwater and established a one-stroke lead yesterday in the storm-delayed second round of the Southwestern Bell Colonial in Fort Worth, Tex. Allem birdied the final hole from 25 feet to cap a seven-under 63 and set a tournament record of 11-under-par 129 over the first 36 holes. Clearwater birdied the last seven holes -- averaging more than 20 feet a putt while falling one short of the PGA Tour record -- for a 61 on the 7,010-yard Colonial course. His 61 was a course and tournament record, and a score that has been bettered only 10 times in the history of the American tour, a pair of 59's by Al Geiberger and Chip Beck, and eight scores of 60. With a 132 total, however, Clearwater trailed both Allem and Dick Mast, who shot 66 and was a stroke off the pace on a day the course was robbed of its natural defenses by gentle breezes and greens slowed and softened by a day-long series of showers. In a group at 133, one behind Clearwater, were Tom Watson, Greg Norman, Russ Cochran, Mark Calcavecchia and Jeff Maggert. (AP) Two Eagles for Robbins: Kelly Robbins had two eagles in a four-under-par 68 yesterday to take sole possession of the lead after two rounds of the L.P.G.A. Corning Classic in Corning, N.Y.. Robbins, who started the round in a three-way tie for the lead, has a 36-hole total of 138, one stroke in front of Hiromi Kobayashi of Japan, who also shot a 68. Alison Nicholas had a 71 and was next at 141. Murphy and Turnesa Rally: Going into the back 18 of the 36-hole best-ball Wilson Memorial Cup yesterday at the Scarsdale (N.Y.) Golf Club, Steve Murphy and Jim Turnesa thought their chances of winning the 22d annual tournament for a third time were minimal. The twosome from the Knollwood Country Club in Elmsford finished the first 18 with a two-under-par 70 that put them in seventh place, seven strokes off the leaders, John Baldwin and Peter Van Ingen of the Meadow Brook Country Club on Long Island. But Murphy and Turnesa combined for a 65 on the back to finish with a 135 and earn the victory by a stroke as Baldwin and Van Ingen scored a 73 and fell into a second-place tie at 136. Also in second was Ridgewood team of Paul Antenucci and Tim Shea.",1993/05/29
118,https://www.nytimes.com/1993/06/03/sports/golf-smooth-sailing-leaves-norman-out-of-rough.html,Smooth Sailing Leaves Norman Out of Rough,"Six weeks off usually leaves a thick coat of rust on the games of professional golfers, but in Greg Norman's case, a long break smoothed jagged edges. As he prepares for Thursday's opening round of the Memorial Tournament, Norman is coming off a strong runner-up finish at the Southwestern Bell Colonial Invitational. The Texas event last weekend was the first for Norman since his 31st place finish at the Masters in April, a performance so disappointing it left the 38-year-old Australian drained.",1993/06/03
135,https://www.nytimes.com/1993/06/08/sports/golf-under-30-crowd-piles-up-under-70-scores.html,Under-30 Crowd Piles Up Under-70 Scores,"When the Saint Andrews Golf Club was established in Yonkers in 1888, the New York area became the cradle of the game in America. In the next two weeks, it will be the nerve center. Beginning Thursday, the Westchester Country Club in Rye, N.Y., will once again be the site of the Buick Classic. And next week, the Baltusrol Country Club in Springfield, N.J., will host the United States Open for a record seventh time.",1993/06/08
128,https://www.nytimes.com/1993/06/13/business/world-markets-telmex-rides-a-roller-coaster.html,World Markets; Telmex Rides a Roller Coaster,"MEXICO'S stock market, the Bolsa Mexicana de Valores, has grown in sophistication and importance recently, but one stock dominates it -- Telefonos de Mexico. Telmex is also one of the most heavily traded New York Stock Exchange issues. And in the past two weeks, a few stray words by a Telmex executive in New York about disappointing earnings ignited a selloff in both markets, proving that while all eyes at the Bolsa may be on the fate of the North American Free Trade Agreement, company news still moves markets, especially if it's made by Telmex.",1993/06/13
141,https://www.nytimes.com/1993/06/19/sports/us-open-golf-janzen-watches-the-birdies-fall-and-ties-an-open-record.html,Janzen Watches the Birdies Fall and Ties an Open Record,"With a burst of birdies through the heart of Baltusrol's back nine, Lee Janzen shot his second consecutive 67 today to take a two-stroke lead in the 93d United States Open. Propelled by a hot 3-2-3 run on the 11th, 12th and 13th holes, the 28-year-old Janzen finished with a 36-hole total of six-under-par 134, two strokes better than Tom Watson and Payne Stewart.",1993/06/19
88,https://www.nytimes.com/1993/06/21/business/dividend-meetings-247093.html,Dividend Meetings,Following is a partial list of dividend meetings this week: MONDAY Ameron Inc Del NBD Bancorp Inc Rochester Tel Corp TUESDAY Bell Atlantic Corp Cascade Nat Gas Corp Centerior Energy Corp Harsco Corp Metropolitan Fin Corp Montana Pwr Co National Svc Inds Inc Rubbermaid Inc Schering-Plough Corp Utd Dominion Realty WEDNESDAY Brooklyn Union Gas Downey Savings & Loan SPX Corp THURSDAY Allen Group Inc Boston Edison Co Campbell Soup Co Delmarva Power & Light Graco Inc KCS Energy Inc Moorco Intl Inc Orange & Rockland Utils Snap-On Tools Corp Tektronix Corp FRIDAY Cent Hudson Gas & Elec Knight-Ridder Inc Pacific Telesis Grp Pfizer Inc Southwestern Bell Corp,1993/06/21
87,https://www.nytimes.com/1993/06/22/business/finance-briefs-612393.html,FINANCE BRIEFS,"Debt * Pennsylvania Power and Light Co., Allentown, Pa., is offering $125 million of 6 percent first-mortgage bonds due in 2000 at 99.83 to yield 6.03 percent. The noncallable issue through First Boston Corp. is rated A by Duff & Phelps. * Southwestern Bell Corp., San Antonio, is offering $250 million of 7 percent debentures at 98.75 to yield 7.113 percent. The noncallable debentures through Goldman, Sachs & Co. are rated A-1 by Moody's Investors Service Inc. and A+ by Standard & Poor's Corp. and Duff & Phelps.",1993/06/22
11,https://www.nytimes.com/1993/07/22/business/southwestern-bell-corp-reports-earnings-for-qtr-to-june-30.html,Southwestern Bell Corp. reports earnings for Qtr to June 30,,1993/07/22
108,https://www.nytimes.com/1993/08/06/business/media-business-advertising-saatchi-saatchi-s-line-20-million-telephone-account.html,Saatchi & Saatchi's Line to a $20 Million Telephone Account is Suddenly and Sharply Disconnected.,"MOBILINK, the cellular telephone consortium formed by 15 leading North American telecommunications companies, unexpectedly changed agencies yesterday without a review. The fledgling concern, which includes six of the seven Baby Bell regional telephone companies, moved its account, with billings estimated to exceed $20 million, to J. Walter Thompson San Francisco after only eight months at Saatchi & Saatchi Advertising in New York. Saatchi's sudden, swift disconnection was surprising even by current standards of client fidelity to agencies, which could be best described as ""What have you done for me yesterday?"" Mobilink's here's-your-hat-what's-your-hurry notice, which was faxed to Saatchi, was particularly startling because the initial campaign the agency created did not begin running until July 1.",1993/08/06
124,https://www.nytimes.com/1993/08/13/sports/golf-simpson-and-wadkins-both-make-statements-in-first-round-of-pga.html,Simpson and Wadkins Both Make Statements In First Round of PGA,"On a leader board full of low numbers and at least one emphatic message, quiet Scott Simpson shot a loud seven-under-par 64 today to take the first-round lead in the 75th PGA Championship. With birdies on the first and 18th holes and five more in between, the 37-year-old Simpson tied the course record over the par-71 Inverness Club orginally set in the third round of the 1986 championship by Bob Tway.",1993/08/13
