,link,headline,summary,date
725,https://www.nytimes.com/Link.asp?I=LS000172923213,"Paid Notice: Deaths CARSWELL, BRUCE","<!-- BRUCE CARSWELL -->CARSWELL--Bruce, of Greenwich CT, passed away at his home in Naples, Florida on October 13, 2014. He was 84 years old. He was a graduate of Colby College, Waterville, Maine and Cornell Law School, Ithaca, NY. He was Senior Vice President of Human Resources and Administration for GTE Corp. now Verizon. Bruce made a huge impact on the Human Resource function and received many honors and awards for his many accomplishments. He is survived by his loving wife, Cathy, two sons, Douglas and David, one daughter, Meredith, and one step-son, Matt Rossi. He is also survived by four grandchildren and one great-grandson.<br><br>",
157,https://www.nytimes.com/guides/well/really-really-short-workouts,"Really, Really Short Workouts","Think you’re too busy to work out? We have the workout for you. In minutes, high-intensity interval training (H.I.I.T.) will have you sweating, breathing hard and maximizing the health benefits of exercise without the time commitment. Best of all, it’s scientifically proven to work.",
623,http://query.nytimes.com/gst/fullpage.html?res=9D04EED71F3AF932A05752C0A9609D8B63,"Paid Notice: Deaths SLOAN, HOWARD","SLOAN--Howard, WWII bomber pilot, former Chairman of New York Blood Center, died at 91. From a base in East Anglia during World War II, 19 year old Howard Sloan flew 33 missions over Germany. His B-24 was named ""The Stork Club."" When praised for his bravery, he would invariably respond: ""Was there a choice?"" Cheers erupted from a crowd on the beach when, piloting his plane home to the states after the war, he dipped his wings over the Inwood Country Club. Mr. Sloan was born in New York City on March 20, 1924. He graduated from the Woodmere Academy and Pawling Preparatory School, and received a Bachelor of Arts degree from Yale University, Class of '45W. He and his late wife, Sonny, along with George and Barbara Bush, were the only two married couples on campus. Dreams of business school were dashed by financial necessity and he joined his father's insurance company, Harris, Sloan and Finn. Characteristically, he turned the experience into a colorful one, representing clients such as Restaurant Associates; Richard Burton, who dispatched him to Rome to deliver a diamond he'd bought at auction for Elizabeth Taylor, or Cartier to present a love bracelet to Valentino, who insisted Howard personally fasten it on his wrist. He became an art insurer, developing great interest and knowledge of art in the process, befriending numerous artists and inspiring a lifetime of collecting: Mayan and PreColumbian sculpture, works by artists as diverse as Giacometti and Bill King, Henry Moore and Lindner. He acquired an art gallery, Multiples, for his wife, Sonny, and Marian Goodman to run. In 1990, he was invited by his friend and mentor, Charles Wohlstetter, to become a partner in the latter's acquisitions of hundreds of independent telephone companies from Alaska to California. They formed Continental Telephone, later known as Contel, in 1962. The company then agreed to be acquired by GTE, a combination that created the nation's largest local telephone company. Sloan remained on the Board of GTE until it was restructured as Verizon. In 1968, an American syndicate acquired an 18th century chateau in Bordeaux with Wohlstetter and Sloan installed as new owners. Chateau Bouscaut was the second most beautiful vineyard in Bordeaux, Sloan proclaimed, second, he said, because he didn't want to boast. Among the many American guests who flocked to visit, his favorite was Mary Lindsay, whom he overheard saying to her husband, then mayor of NYC, ""John, if I have to see one more vineyard, I'll kill myself."" To Sloan's eternal regret, Bouscat was sold in 1980. Mayor Lindsay brought Sloan onto the board of the Vivian Beaumont Theatre in 1984. At that time, according to Andre Bishop, current artistic director, ""Nobody would give you a nickel for the Beaumont."" It is now one of the leading theatrical companies in New York, if not the world. Mr. Sloan served on the Board until his death on Thursday. In 1977, Sloan joined the Board of Trustees of the New York Blood Center, of which he was Chairman from 1993 to 2000, nominating his successor, Howard Milstein. In January 2013, a congressional extension prepared by Representative Carolyn Maloney in recognition of Mr. Sloan's 15 years of distinguished service and dedication to NYBC's mission, was entered into the congressional record. She cited his humanitarian status and commended his leadership and tireless advocacy. For several years, he presided as Chairman of Northside Center for Child Development, founded by Kenneth and Mamie Clarke, earning a colleague's recent comment, ""There was a time this place wouldn't have existed without Howard Sloan."" He and his wife are to be honored for their dedication to Northside at a gala in May 2017. Howard Sloan died of kidney failure in Columbia-Presbyterian Hospital on January 21, 2016. Handsome as a film star, he will be remembered for his elegance and extraordinary wit. He is survived by his wife, Barbara; two daughters, Kathryn Roth of Weston, Massachusetts, Gillis Cone of Woodbury, Connecticut; a son, Douglas Sloan, of Palm Beach; a stepdaughter, Paulette Bartlett Robinson, of Los Angeles, and four grandchildren. Interment will be private and a memorial service will take place at Frank E. Campbell Funeral Home on Wednesday, February 10th. 1/3",
619,http://query.nytimes.com/gst/fullpage.html?res=9805E3D81F3AF93AA15752C0A9609D8B63,"Paid Notice: Deaths SLOAN, HOWARD","SLOAN--Howard, WWII bomber pilot, former Chairman of New York Blood Center, died at 91. From a base in East Anglia during World War II, 19 year old Howard Sloan flew 33 missions over Germany. His B-24 was named ""The Stork Club."" When praised for his bravery, he would invariably respond: ""Was there a choice?"" Cheers erupted from a crowd on the beach when, piloting his plane home to the states after the war, he dipped his wings over the Inwood Country Club. Mr. Sloan was born in New York City on March 20, 1924. He graduated from the Woodmere Academy and Pawling Preparatory School, and received a Bachelor of Arts degree from Yale University, Class of '45W. He and his late wife, Sonny, along with George and Barbara Bush, were the only two married couples on campus. Dreams of business school were dashed by financial necessity and he joined his father's insurance company, Harris, Sloan and Finn. Characteristically, he turned the experience into a colorful one, representing clients such as Restaurant Associates; Richard Burton, who dispatched him to Rome to deliver a diamond he'd bought at auction for Elizabeth Taylor, or Cartier to present a love bracelet to Valentino, who insisted Howard personally fasten it on his wrist. He became an art insurer, developing great interest and knowledge of art in the process, befriending numerous artists and inspiring a lifetime of collecting: Mayan and PreColumbian sculpture, works by artists as diverse as Giacometti and Bill King, Henry Moore and Lindner. He acquired an art gallery, Multiples, for his wife, Sonny, and Marian Goodman to run. In 1990, he was invited by his friend and mentor, Charles Wohlstetter, to become a partner in the latter's acquisitions of hundreds of independent telephone companies from Alaska to California. They formed Continental Telephone, later known as Contel, in 1962. The company then agreed to be acquired by GTE, a combination that created the nation's largest local telephone company. Sloan remained on the Board of GTE until it was restructured as Verizon. In 1968, an American syndicate acquired an 18th century chateau in Bordeaux with Wohlstetter and Sloan installed as new owners. Chateau Bouscaut was the second most beautiful vineyard in Bordeaux, Sloan proclaimed, second, he said, because he didn't want to boast. Among the many American guests who flocked to visit, his favorite was Mary Lindsay, whom he overheard saying to her husband, then mayor of NYC, ""John, if I have to see one more vineyard, I'll kill myself."" To Sloan's eternal regret, Bouscat was sold in 1980. Mayor Lindsay brought Sloan onto the board of the Vivian Beaumont Theatre in 1984. At that time, according to Andre Bishop, current artistic director, ""Nobody would give you a nickel for the Beaumont."" It is now one of the leading theatrical companies in New York, if not the world. Mr. Sloan served on the Board until his death on Thursday. In 1977, Sloan joined the Board of Trustees of the New York Blood Center, of which he was Chairman from 1993 to 2000, nominating his successor, Howard Milstein. In January 2013, a congressional extension prepared by Representative Carolyn Maloney in recognition of Mr. Sloan's 15 years of distinguished service and dedication to NYBC's mission, was entered into the congressional record. She cited his humanitarian status and commended his leadership and tireless advocacy. For several years, he presided as Chairman of Northside Center for Child Development, founded by Kenneth and Mamie Clarke, earning a colleague's recent comment, ""There was a time this place wouldn't have existed without Howard Sloan."" He and his wife are to be honored for their dedication to Northside at a gala in May 2017. Howard Sloan died of kidney failure in Columbia-Presbyterian Hospital on January 21, 2016. Handsome as a film star, he will be remembered for his elegance and extraordinary wit. He is survived by his wife, Barbara; two daughters, Kathryn Roth of Weston, Massachusetts, Gillis Cone of Woodbury, Connecticut; a son, Douglas Sloan, of Palm Beach; a stepdaughter, Paulette Bartlett Robinson, of Los Angeles, and four grandchildren. Interment will be private and a memorial service will take place at Frank E. Campbell Funeral Home on Wednesday, February 10th. 1/3",
580,https://www.nytimes.com/paidpost/tanium/vision-2020.html,Vision 2020,"Discover why security budgets are growing, but the frequency of data breaches are growing faster.",
250,https://www.nytimes.com/video/multimedia/100000003680354/skeptics-pick-apart-aol-verizon-deal.html,Skeptics pick apart AOL Verizon deal,"Verizon's $4.4 billion bet on AOL has some industry watchers expressing concern that, while Verizon needed to make a strategic move, buying AOL was not the right one. Bobbi Rebell reports.",
261,https://www.nytimes.com/video/business/dealbook/100000004671570/aol-chief-on-yahoo-hacking.html,AOL Chief on Yahoo Hacking,"“On both sides, the contract has very good protections,” said Tim Armstrong, deflecting questions about whether the hacking will impact Yahoo’s deal with Verizon.",
270,https://www.nytimes.com/video/multimedia/100000003640577/verizon-adds-565000-subscribers.html,"Verizon adds 565,000 subscribers",Fewer subscribers defected to rival carriers. Verizon's quarterly profit fell but breezed past analysts estimates. Fred Katayama reports.,
275,https://www.nytimes.com/video/business/100000003687146/a-convergence-of-industries.html,A Convergence of Industries,"James B. Stewart, on CNBC, provides perspective on Verizon’s purchase of AOL, saying it is the latest in a series of bold steps the company has made.",
555,http://query.nytimes.com/gst/fullpage.html?res=9F0DE2DE133AF930A15753C1A9639D8B63,"Paid Notice: Deaths FERGUSON, WILLIAM C","FERGUSON--William C. Retired Chairman and CEO of NYNEX (now Verizon), died October 14, 2015, in Jupiter, Florida. He was 84. From 1989 until his retirement in 1995, Mr. Ferguson led the transformation of the company for the newly competitive communications era, expanding its wireless footprint, diversifying into international markets and advocating for reform of the nation's telecommunications policies. Over a Bell System career spanning more than four decades, he also held leadership positions at Michigan Bell and served as president of New York Telephone from 1983 to 1987. In addition, he was active on several corporate and charitable boards. Born in Detroit, Michigan, Mr. Ferguson attended Albion College, where he earned a B.A. in Liberal Arts in 1952. Bill tirelessly gave back to Albion throughout his lifetime as a parent, donor, professor, board chair and acting president. Mr. Ferguson is survived by his wife of 63 years, Joyce Ferguson; his three daughters, Laura Ferguson, Ellen Keleman (Robert), and Joanne Gerrish (Shep); seven grandchildren and two great- grandchildren. In lieu of flowers, donations can be made to Albion College in his name at www.albion.edu/giving. 1/3",
