,link,headline,summary,date
258,http://query.nytimes.com/gst/fullpage.html?res=940DE0DF1F3EF933A15752C1A9639C8B63,Does Anybody Know When the Train Leaves?,"IN the old days, they came north on the trains, shipped in boxes and sent out of Grand Central Terminal, and were tossed onto platforms for the ticket agent to dole out to riders on Metro-North. They are the pocket-size schedules often found in racks by the door or the ticket window of stations along the New Haven line. But that was back when stations had ticket agents.",
126,http://query.nytimes.com/gst/fullpage.html?res=9A0CE6DB1130F930A15751C1A9629C8B63,CBS Forms a Unit To Oversee Marketing,"The CBS unit of Viacom has formed a unit called the CBS Marketing Group to oversee marketing across its divisions. George Schweitzer, 53, executive vice president for marketing and communications at CBS since 1994, was named president of the unit. Ron Scalera, 43, and Anne O'Grady, 47, senior vice presidents for marketing at CBS, were named executive vice presidents at CBS Marketing; Mr. Scalera will also serve as creative director.",
133,http://query.nytimes.com/gst/fullpage.html?res=9507E4DC123BF932A35751C0A9639C8B63,BUSINESS DIGEST,"Marsh to Pay $850 Million To Settle Spitzer Lawsuit Marsh & McLennan Companies, the world's largest insurance broker, agreed to pay $850 million to settle a lawsuit accusing it of rigging prices and steering business to insurers in exchange for incentive payments. The lawsuit, brought by Eliot Spitzer, the New York attorney general, maintained that the payments increased the cost of coverage for customers. [Page A1.] Federal Law Fails to Curb Spam In the year since a federal antispam law went into effect, the volume of unsolicited junk e-mail on the Internet has grown. [A1.] Lawsuits Are a Drain on Wyeth Shares in Wyeth plunged after it raised its estimate for the total cost of fen-phen litigation to $21.1 billion and said legal cases continued to drain earnings in 2004. It was at least the fourth time that Wyeth increased its litigation cost estimate since two diet drugs were linked to heart valve problems. [C2.] Breakthrough in Tiny Electronics Researchers at Hewlett-Packard say they have created a molecular-scale alternative to the transistor. [C8.] Legal Center for Open Source A new nonprofit legal center will try to minimize the risk that developers and users of open-source software will be sued. [C8.] AOL and Road Runner Join Up Time Warner cable will sell a broadband service that combines its Road Runner high-speed service with America Online. [C8.] Lee Enterprises to Buy Pulitzer Pulitzer, the newspaper publisher, agreed to be bought by the Lee Enterprises chain. [C6.] Stock Awards for Google Innovators Google has begun giving out an award worth perhaps millions of dollars to employees who work on outstanding projects. [C10.] Finance Chief at Viacom Is Leaving Viacom's chief financial officer, Richard J. Bressler, left, is leaving his post. The company said he would stay until a successor had been found. Although Viacom did not give a reason for Mr. Bressler's departure, changes in management structure may have affected his position and his prospects. [C9.] Star Witness at Tobacco Trial Jeffrey S. Wigand, whose story was told in the film ''The Insider,'' testified in the government's case against tobacco companies. [A16.] A&E Buys Rights to 'Sopranos' A&E reached an agreement with HBO to buy syndication rights to ''The Sopranos.'' [E1.] Disney Profit Tops Expectations Disney's earnings were better than expected, helped by television and theme parks. [C9.] Takeovers Help the Stock Market Stocks rose as the election in Iraq and corporate acquisitions bolstered optimism. The Dow Jones industrial average rose 62.74 points, to 10,489.94, and the Nasdaq composite index climbed 26.58 points, to 2,062.41. [C10.] Defending Bread's Good Name A campaign will try to counteract attacks on bread from promoters of the low-carb trend. Stuart Elliott: Advertising. [C9.] Airbus A380 Has Fans and Foes Some cannot find enough good things to say about the giant A380, but others are not sure it is the future. Joe Sharkey: On the Road. [C6.]",
136,http://query.nytimes.com/gst/fullpage.html?res=9D06E0DE163BF936A25755C0A9639C8B63,BUSINESS DIGEST,"Medicare Officials Want More Choices In Drug Plan, Raising Cost Concerns The Medicare drug benefit, which begins in January, is shaping up to give beneficiaries access to a larger number and a wider variety of prescription drugs than are now available to many workers and retirees with private employer-sponsored health insurance, raising concerns about costs. [Page A1.] Effort to Promote Natural Gas Faces Resistance International energy companies, the Bush administration and governments in gas-rich countries are aggressively championing the creation of a global market for natural gas, with the United States at its center. But their efforts are running into opposition on many fronts. [A1.] OPEC members said they were considering doubling a proposed increase in oil production quotas. [C9.] China Said to Consider Stock Market Bailout The Chinese government is said to be considering creating a $15 billion fund to help bail out the nation's ailing stock market. [C1.] J.P. Morgan Chase to Pay Enron Investors $2.2 Billion J.P. Morgan Chase said it had agreed to pay $2.2 billion to Enron investors who accused the bank of participating in the Enron accounting scandal. [C1.] Morgan Stanley Casts Wide Net for New Chief The board of Morgan Stanley is extending feelers to a wide range of executives to serve as Philip J. Purcell's successor. [C1.] The investment bank Lehman Brothers reported another stellar quarter, saying that earnings rose 12 percent from the year-earlier period. [C4.] Fugitive Founder of Daewoo Returns to Korea Kim Woo Choong, whose rise and fall as the founder of the dissolved Daewoo corporate empire became a symbol of the South Korean economy's breakneck growth and eventual implosion, returned to Korea after almost six years as a fugitive. Prosecutors said they arrested Mr. Kim, 68, left, on fraud and embezzlement charges as he arrived from Hanoi at an airport near Seoul. [C6.] G.M. Workers Given Deadline on Health Cuts General Motors has given the United Auto Workers until the end of the month to agree to cuts in health care benefits, union officials said. [C1.] Amid Subsidy Debate, Successes for Boeing There is mounting evidence that Washington's unbending stance on aircraft subsidies has thrown Airbus off balance and given Boeing a major edge in one of the world's epic commercial rivalries. [C1.] Hedge Fund Seeks to Thwart Verizon's MCI Deal A large hedge fund said that it planned to mount a campaign against Verizon's $8.5 billion takeover of MCI, hoping to coax Qwest Communications into reviving its previous offer for the company. [C2.] Bristol-Myers Decides to Ban Ads for New Drugs Bristol-Myers Squibb imposed a ban on advertising its new drugs to consumers in their first year on the market, adopting voluntary company limits that go farther than what is anticipated in an industrywide advertising code. [C7.] Viacom Directors Approve Splitting Company in Two Viacom's board voted to split the company in two, supporting a plan by the chairman, Sumner Redstone, to increase the company's share value. [C4.] Blackstone Group to Acquire Wyndham Hotel Chain A Blackstone Group affiliate has agreed to purchase Wyndham International, which has 150 upscale hotels, for $1.44 billion. Wyndham's board has approved the deal, and the shareholders will probably vote on the offer in the early fall. Shareholders would be paid $1.15 per share. Higher occupancy rates this year have made hotels a more attractive investment, and Wyndham follows several other recent hotel acquisitions by Blackstone. [C2.] Senate Panel Narrowly Approves Trade Agreement The Central America Free Trade Agreement narrowly won a preliminary vote in the Senate Finance Committee after a last-minute administration promise to hold discussions with the sugar industry. [C4.] Pfizer Reports Promising Results for Insulin Powder Pfizer said that Exubera, an inhaled insulin powder it is developing with Sanofi-Aventis and Nektar Therapeutics, worked as well as injectable insulin in a study of 226 patients. [C5.] Stock Markets Make Minor Advances The Dow Jones industrial average rose 25.01, to 10,547.57. The Standard & Poor's 500-stock index was up 3.09, at 1,203.91, and the Nasdaq composite index climbed 0.08, to 2,069.04. [C9.]",
140,http://query.nytimes.com/gst/fullpage.html?res=9502E3DB133BF931A35751C0A9639C8B63,Corrections,"A picture in the Business Digest column yesterday with an entry about the departure of Richard Bressler, chief financial officer at Viacom, was published in error. It showed Leon Bressler, chief executive of the French real estate management company Unibail.",
476,http://query.nytimes.com/gst/fullpage.html?res=9A05E4DB1139F934A35752C0A9639C8B63,NEWS SUMMARY,"INTERNATIONAL A3-14 General Being Sent to Iraq To Review U.S. Strategy The Pentagon is sending a highly regarded retired four-star general to Iraq to conduct an unusual ''open-ended'' review of the military's entire Iraq policy, including troop levels, training programs for Iraqi security forces and the strategy for fighting the insurgency. A1 Significant areas of Iraq are still not secure enough for citizens to vote, the commander of American ground forces there said. The acknowledgement came on a day when seven American soldiers were killed. The Iraqi government announced it was extending emergency rule in most areas of the country for 30 more days. A1 Paul A. Volcker says his investigation into the scandal-tainted oil-for-food program will clarify the roles of Secretary General Kofi Annan and the program's former director, Benon V. Sevan, but will not produce any ''smoking gun.'' A3 U.N. Focus on Relief Effort United Nations Secretary General Kofi Annan gently prodded world leaders on how to coordinate the vast tsunami relief effort to follow through on their aid pledges, which now total more than $3 billion. Health officials are warning the death toll could still rise, unless a constant stream of assistance is maintained where poor sanitation and a lack of medical care and disease remain a threat. A12 The United States military's huge relief effort for tsunami victims is producing something of a political upheaval in Indonesia, the world's most populous Muslim country: America is being praised, even by some of its harshest critics, while Arab countries are being questioned. A12 The tsunami also hit the eastern United States, though only the tide gauges noticed. The tsunami was so powerful that it swept around the world, with its last residual waves perceptibly jostling tide gauges from Russia's remote northeastern Pacific waters to Halifax, Nova Scotia, in the Atlantic. A14 Congress passed legislation to allow taxpayers additional time to make cash donations to relief organizations addressing the disaster and claim a tax deduction for 2004. A12 SCIENCE/HEALTH A Genetic Link to AIDS A new study by researchers in Texas has found a strong link between a gene that codes part of the immune system and susceptibility to the virus that causes AIDS. A17 Mandela's Son Dies of AIDS Nelson Mandela, who has devoted much of his life after leaving South Africa's presidency to a campaign against AIDS, said his son had died of the disease. Mr. Mandela said he was disclosing the cause of his death to focus more public attention on AIDS, which is still a taboo topic among many South Africans. A3 NATIONAL A16-20 Nominee Says He Opposes Torture of Terror Suspects Alberto R. Gonzales, nominated by President Bush to be attorney general, denounced the use of torture against terrorism suspects and promised to abide by international law, even as he came under attack from lawmakers over the government's treatment of prisoners. A1 Tenet Cited for 9/11 Failures An internal investigation by the Central Intelligence Agency has concluded that officials who served at the highest levels of the agency, should be held accountable for failing to allocate adequate resources to combat terrorism before the Sept. 11 attacks, current and former intelligence officials say. A1 Arrest in 1964 Murders The most infamous unresolved case from America's civil rights struggle -- the 1964 abduction and killing of three voter-registration volunteers in Mississippi -- was reopened with the arrest of Edgar Ray Killen, a longtime leader of the Ku Klux Klan, the authorities announced. A1 Retrial in Drowning Case Andrea Yates, a Texas woman convicted of drowning her five children in a bathtub, was granted a new trial by an appeals court in Houston. A16 Drug Campaign Called Unlawful The investigative arm of Congress said that the Bush administration had violated federal law by producing and distributing TV news segments about the harmful effects of drug use among young people. A16 Vote Challenged, Then Ratified Congress officially ratified President Bush's election victory, but not before Democrats challenged the electoral votes from Ohio. A19 Senator Oppose Bush Plan Senator Max Baucus of Montana, a Democrat whose support was essential to the enactment of President Bush's tax cuts in 2001 and his Medicare legislation in 2003, said he would oppose the president's Social Security plan this year. A19 Charges Dismissed in Spy Case A judge dismissed all charges against a Chinese-American woman accused of using a sexual relationship with an F.B.I. agent to secure national military documents. A20 NEW YORK/REGION B1-7 Assembly Wants Members To Be Present for Votes The New York State Assembly is adopting new rules requiring lawmakers to actually be present in the Capitol when they want to vote on bills. The change alters the current rule that once lawmakers sign in for the day, they are counted as voting ''yes'' on all bills unless they signal otherwise. B1 Tuition Stability at SUNY The chancellor of the State University of New York proposed sweeping changes in the way the university sets its tuition, guaranteeing that each class of entering students would not face tuition increases for four years, beginning next fall. B1 School Accountants Faulted A new state audit concludes that the accounting firm chosen by the Roslyn, N.Y., school district as its fiscal watchdog was hired without competitive bidding and failed to catch rampant multimillion-dollar corruption -- even after a whistle-blower's tip on thefts of $223,000. B1 Neediest Cases B6 WEEKEND E1-38;E39-46 ESCAPES F1-10 SPORTSFRIDAY D1-7 Yankees and Johnson Have Deal The Yankees and Randy Johnson agreed to a two-year, $32 million contract that will run through the 2007 season. With the new contract in place, Johnson agreed to waive his no-trade clause. The only step remaining to completing the trade of Johnson from Arizona to the Bronx is for him to pass his physical on Monday. D6 OBITUARIES A21 Guy Davenport An author, painter, teacher and scholar whose work ranged from critical essays to translations to poetry, but was most admired for short stories in the modernist tradition of Pound and Joyce, he was 77. A21 BUSINESS DAY C1-12 A New Course for Delta Delta started a price war this week by capping fares and simplifying prices, becoming the first big airline to join forces with low-fare players like Southwest and AirTran. Despite the furor that Delta's action caused, analysts and industry executives said the move was inevitable. C1 Modest Gain in Holiday Sales America's merchants hustled for sales this holiday season, marking down a substantial part of their inventories right before Christmas to bring in enough last-minute and post-holiday buyers for a decent, 3.1 percent gain over the previous year. C1 Saving Pension Insurance Officials in the Bush administration are close to unveiling a rescue plan for the federal pension-insurance program -- one they hope will be strong enough to save the agency from a costly S.&L.-style bailout, but not so strong that it kills the pension system. C1 New Head for Paramount Viacom Inc. named Brad Grey, one of the most prominent talent managers in Hollywood, to be chairman and chief executive of Paramount, its troubled studio. C2 Business Digest C1 EDITORIAL A22-23 Editorials: Mr. Gonzales speaks; the election's last gasp; Nelson Mandela loses a son; Helene Cooper on softly going where Yasir Arafat feared to tread. Columns: Bob Herbert, Paul Krugman. Crossword E29 TV Listings E37 Public Lives B2 Weather D8",
146,http://query.nytimes.com/gst/fullpage.html?res=9402EFDD1130F930A25756C0A9639C8B63,Media Operations Chief Named at Interpublic,"The Interpublic Group of Companies in New York yesterday named Mark Rosenthal, a longtime cable television executive, to a new post overseeing all media operations. The creation of the post had been expected for several months as Interpublic has grappled with difficulties at its media agencies. The setbacks included the departures of senior managers and the losses of large assignments from clients, among them General Motors, Nestlé and Unilever.",
125,http://query.nytimes.com/gst/fullpage.html?res=9C03EED8113EF935A25757C0A9639C8B63,INSIDE,"Dance Troupe Stretches for Hope in Colombia The young members of a contemporary dance troupe, including many who live in a shantytown, bring avant-garde culture to socially conservative Cartagena, Colombia. THE ARTS, PAGE B7 Big Payout at Viacom Viacom's top three executives received total 2004 compensation valued at $52 million to $56 million each, while shares of the media company fell 18 percent. BUSINESS DAY, PAGE C1 Stadium Fight, in 7,000 Pages Environmental impact statements -- like the 7,312-page report on the stadium proposed by the Jets for the West Side of Manhattan -- have become weapons of choice in New York for those seeking to derail developments, or to stall them until market conditions turn unfavorable. PAGE B1 For Italians, a Need To Regain the Papacy For 455 years, the papacy passed uninterrupted from one Italian to another, until the election of the Polish pope, John Paul II. Now, after 26 years, many Italians think it is time to get back in office -- for fear that changes in the Roman Catholic Church may close the door on them for good. As cardinals from 52 countries prepare to select the next pope, some Vatican historians believe that the election of another foreigner would conclude a historic shift of power away from Italy. According to this school of thought, the papacy needs to mirror Catholicism's growth in the Southern Hemisphere. PAGE A3 Marriage Advice Behind Bars Oklahoma state officials are allowing prison inmates in good standing, including some serving life sentences, to take part in a six-part course on maintaining a healthy marriage. The unlikely program stems from the state's six-year effort to bolster wedded bliss. In small workshops, the inmates discuss issues like money and sex that often underlie marital disputes. PAGE A10 Reaching India via Pakistan The decision by the United States to sell 24 jet fighters to Pakistan has also opened up the Indian market, meaning American contractors now have the chance to sell up to 126 fighters --at $35 million each -- to a country with an aging fleet of 800 jets, none of them made in America. BUSINESS DAY, PAGE B1",
150,http://query.nytimes.com/gst/fullpage.html?res=9C03E1DF103AF934A25751C0A9639C8B63,HASBRO TO SELL GAMES WITH NICKELODEON CHARACTERS,"Hasbro will sell two games based on the SpongeBob SquarePants cartoon character this year and sell other games based on characters from the Nickelodeon television unit of Viacom. Hasbro has an exclusive contract for the United States rights to make games and puzzles with characters from Nickelodeon and Nick Movies, and will rebrand some other games with the characters, said Clark Hare, a spokesman for Hasbro. The first games, expected to be in stores in March, will be Ants in the SquarePants, a version of the game Ants in the Pants, and a version of the Game of Life called the Game of Life in Bikini Bottom, SpongeBob SquarePants Edition. Hasbro is based in Pawtucket, R.I.",
154,http://query.nytimes.com/gst/fullpage.html?res=9C0CEEDC1430F936A15751C1A9639C8B63,An Art School Learns to Go Where the Demand Leads It,"CHRISTOPHER GOLDEN reached a finger into the plastic tray and swirled a sheet of photographic paper floating in developing solution. ''I always seem to do people's heads,'' he said. ''I like this close-up stuff.'' The image emerged slowly: first some dark splotches, and then wavy lines. ''It's my brother,'' Christopher explained with a grin. A few seconds later, a single eye became visible, peeking mischievously through a web of leaves and grapevines.",
