Word,Modal,Negative,Positive,Uncertainty,Litigious,Constraining,Superfluous,Interesting
ABANDON,0,1,0,0,0,0,0,0
ABANDONED,0,1,0,0,0,0,0,0
ABANDONING,0,1,0,0,0,0,0,0
ABANDONMENT,0,1,0,0,0,0,0,0
ABANDONMENTS,0,1,0,0,0,0,0,0
ABANDONS,0,1,0,0,0,0,0,0
ABDICATED,0,1,0,0,0,0,0,0
ABDICATES,0,1,0,0,0,0,0,0
ABDICATING,0,1,0,0,0,0,0,0
ABDICATION,0,1,0,0,0,0,0,0
ABDICATIONS,0,1,0,0,0,0,0,0
ABERRANT,0,1,0,0,0,0,0,0
ABERRATION,0,1,0,0,0,0,0,0
ABERRATIONAL,0,1,0,0,0,0,0,0
ABERRATIONS,0,1,0,0,0,0,0,0
ABETTING,0,1,0,0,0,0,0,0
ABEYANCE,0,0,0,1,0,0,0,0
ABEYANCES,0,0,0,1,0,0,0,0
ABIDE,0,0,0,0,0,1,0,0
ABIDING,0,0,0,0,0,1,0,0
ABLE,0,0,1,0,0,0,0,0
ABNORMAL,0,1,0,0,0,0,0,0
ABNORMALITIES,0,1,0,0,0,0,0,0
ABNORMALITY,0,1,0,0,0,0,0,0
ABNORMALLY,0,1,0,0,0,0,0,0
ABOLISH,0,1,0,0,0,0,0,0
ABOLISHED,0,1,0,0,0,0,0,0
ABOLISHES,0,1,0,0,0,0,0,0
ABOLISHING,0,1,0,0,0,0,0,0
ABOVEMENTIONED,0,0,0,0,1,0,0,0
ABROGATE,0,1,0,0,1,0,0,0
ABROGATED,0,1,0,0,1,0,0,0
ABROGATES,0,1,0,0,1,0,0,0
ABROGATING,0,1,0,0,1,0,0,0
ABROGATION,0,1,0,0,1,0,0,0
ABROGATIONS,0,1,0,0,1,0,0,0
ABRUPT,0,1,0,0,0,0,0,0
ABRUPTLY,0,1,0,0,0,0,0,0
ABRUPTNESS,0,1,0,0,0,0,0,0
ABSENCE,0,1,0,0,0,0,0,0
ABSENCES,0,1,0,0,0,0,0,0
ABSENTEEISM,0,1,0,0,0,0,0,0
ABSOLVE,0,0,0,0,1,0,0,0
ABSOLVED,0,0,0,0,1,0,0,0
ABSOLVES,0,0,0,0,1,0,0,0
ABSOLVING,0,0,0,0,1,0,0,0
ABUNDANCE,0,0,1,0,0,0,0,0
ABUNDANT,0,0,1,0,0,0,0,0
